critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
alicia-adejobi,rotten,,all_eyez_on_me_2017,Tupac's legacy deserves better -- and so do the fans.,All Eyez on Me (2017)
alicia-adejobi,fresh,3/5,ride_along_2,"However watchable the second outing may be, Hart and Cube should pull up to the curb and bring their much-milked ride to a stop with this sequel for fear of exhausting the formula even further.",Ride Along 2 (2016)
alicia-adejobi,rotten,1/5,the_perfect_guy,"Lathan, Ealy and Chestnut do their best with the poorly-written script but even their experienced acting chops fail to save the copycat thriller.",The Perfect Guy (2015)
alicia-adejobi,fresh,4/5,the_program,Foster is wickedly brilliant in his portrayal.,The Program (2016)
alicia-adejobi,fresh,3/5,carol,"Todd Haynes has crafted a visually stunning picture with Carol, a lesbian love story brought to life with remarkable performances by Cate Blanchett and Rooney Mara.",Carol (2015)
alicia-adejobi,fresh,,the_lobster,Yorgos Lanthimos's black comedy is entirely strange and a head-scratcher but its core message is certainly relatable to a large demographic.,The Lobster (2016)
alicia-adejobi,fresh,4/5,trumbo,Cranston is certainly unforgettable but Trumbo is by no means a one-man show.,Trumbo (2015)
alicia-cohn,rotten,2.5/4,focus_2014,"While Focus is fun, with intrigue, twists, and turns that will likely only hold up to one viewing, the romance ends up being the focus. Unfortunately, loyalty between liars doesn't equal a love story.",Focus (2015)
alicia-cohn,rotten,2/4,dark_places_2015,It's a fairly standard murder mystery with some good acting and an ending that comes out of nowhere.,Dark Places (2015)
alicia-cohn,fresh,3/4,miss_you_already,"Director Catherine Hardwicke, who is known for making movies about women (yes, even Twilight sort of counts), is unsparingly honest when it comes to depicting human behavior in relationships.",Miss You Already (2015)
alicia-cohn,fresh,,wonder_woman_2017,"Although the film follows a somewhat traditional script, it also deviates -- because superheroing while female is a radical act.",Wonder Woman (2017)
alicia-cohn,rotten,,home_again_2017,This setup for a pretty standard situation comedy ought to lead to heartwarming hilarity. It doesn't.,Home Again (2017)
alicia-cohn,fresh,,la_la_land,"Damien Chazelle, the writer/director behind the Oscar-nominated Whiplash, set out to make a musical romance, but his new film La La Land transcends both genres.",La La Land (2016)
alicia-fletcher,fresh,,love_and_friendship,[Whit] Stillman has finally achieved what he now seems to have always been working towards: the merging of his contemporary bourgeois comedies of errors with the literary precedents that inspired them.,Love & Friendship (2016)
