critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
jeanne-claire-van-ryzin,fresh,B,portrait_of_wally,"The story is compelling, and the fallout of the 13-year legal battle over Portrait of Wally not only established important legal precedence regarding art looted from Holocaust victims, but also caused some soul-searching in the museum world.",Portrait of Wally (2012)
jeanne-claire-van-ryzin,fresh,B,trash_dance_2012,"Garrison's thoughtful, eloquent documentary illuminates the reality that all work matters and has dignity, no matter the invisibility of the labor.",Trash Dance (2013)
jeanne-cooper,fresh,,dry_white_season,"""A Dry White Season"" bursts through your door and beats you senseless; it seems perverse to question its technique and only days later can you question its logic.",A Dry White Season (1989)
jeanne-cooper,fresh,,1109679-hamlet,"Reduced to 'Master Pieces Theater,' Shakespeare's text nevertheless gains in force what it loses in integrity.",Hamlet (1990)
jeanne-cooper,rotten,,school_ties,There's a dramatic imbalance to Dick Wolf and Darryl Ponicsan's screenplay.,School Ties (1992)
jeanne-cooper,fresh,,home_alone,"This holiday contender from John Hughes is too crass, too loud and too violent to be added blithely to Christmas viewing traditions. But it is funny.",Home Alone (1990)
jeanne-kaplan,fresh,,the-social-network,"Hallelujah! Finally, a movie with the kind of dialogue we deserve!",The Social Network (2010)
jeanne-kaplan,fresh,,waiting_for_superman,"A powerful story of despair and hopelessness on behalf of the students who are stuck in crumbling, poorly-administered schools.",Waiting for Superman (2010)
jeanne-kaplan,fresh,,secretariat,"The close-ups of the jockeys and horses in the starting gates, with the nervous pawing of the hooves, is thrilling enough to get even the most jaded moviegoer's attention.",Secretariat (2010)
jeanne-kaplan,fresh,,10012044-life_as_we_know_it,"I'm a sucker for babies, puppies and hot men. ""Life as We Know It"" has two out of three, so what more can a girl ask for?",Life as We Know It (2010)
jeanne-kaplan,rotten,,stone,"""Stone"" is boring, trite and overacted.",Stone (2010)
jeanne-kaplan,fresh,,red,"Now this is a fun film! Okay --- it's' not Oscar material, but it has great cast and a lot of action --- and sometimes in this crazy, hectic world, that's all you need in a movie.",Red (2010)
jeanne-kaplan,fresh,,never_let_me_go_2010,"Director Mark Romanek (""One Hour Photo"") has taken Kazuo Ishiguro's (""Remains of the Day"") award-winning novel of the same name, and with great care turns it into a remarkable movie.",Never Let Me Go (2010)
jeanne-kaplan,fresh,,hereafter,"There are no real answers here, strictly more questions, but Eastwood clearly relishes exploring subjects which can be labeled troublesome.",Hereafter (2010)
jeanne-kaplan,rotten,,due-date,"It is moronic, juvenile and seriously offensive to the intelligence of the movie going audience.",Due Date (2010)
jeanne-kaplan,fresh,,conviction_2010,Director Tony Goldwyn's choice of Swank to portray Betty Anne is a stroke of genius. No one could have gotten inside this real life person as well as the two-time Academy Award winner.,Conviction (2010)
jeanne-kaplan,rotten,,wall_street_money_never_sleeps,I think Stone should have left Gordon Gekko where he was --- in jail!,Wall Street: Money Never Sleeps (2010)
jeanne-kaplan,rotten,,the_american,These are not people that I thought about once I left the theater.,The American (2010)
jeanne-kaplan,fresh,,10012042-going_the_distance,"If Drew Barrymore and Justin Long have as much fun being romantically involved in real life as they do on screen, they should be together for a long time.",Going the Distance (2010)
jeanne-kaplan,fresh,,megamind,Kids of all ages will understand and appreciate this film's meaning without feeling beaten over the head.,Megamind (2010)
jeanne-kaplan,fresh,,flipped,You won't find two better youthful actors directed by a comic genius in any other film this summer.,Flipped (2010)
jeanne-kaplan,fresh,,journey-to-mecca,"As far as promoting a better understanding of the religion of Islam to the Western world, I think ""Journey to Mecca"" has provided a valiant beginning.",Journey to Mecca (2009)
jeanne-kaplan,fresh,,nanny_mcphee_returns,"Perhaps ""Nanny McPhee Returns"" is not quite as good as the first film, but it does manage to entertain, particularly those of us who wish to remain as childlike as possible.",Nanny McPhee Returns (2010)
jeanne-kaplan,fresh,,eat_pray_love,"If you're in the mood for a Julia Roberts film that provides two hours of ""Calgon take me away"", this is it.",Eat Pray Love (2010)
jeanne-kaplan,rotten,,cats_and_dogs_the_revenge_of_kitty_galore,"Once again, it does not matter how many big-name stars you assemble, if the writing sucks --- so does the movie!",Cats & Dogs: The Revenge of Kitty Galore (2010)
jeanne-kaplan,fresh,,inception,DiCaprio is his usual terrific self. He is the Paul Newman of this generation.,Inception (2010)
jeanne-kaplan,fresh,,10012141-kids_are_all_right,"Writing and directing a movie about family and relationships is always challenging, but Cholodenko seems to have found the right balance.",The Kids Are All Right (2010)
jeanne-kaplan,rotten,,1214097-despicable_me,"The storyline gets so bogged down in the minutia of the moon caper, that by the second half of the film, when we finally develop feelings for these characters and things start to improve, we barely care.",Despicable Me (2010)
jeanne-kaplan,rotten,,love_ranch,"Screenwriter Mark Jacobson has done little to make this love triangle clearer than mud. The script is one trite cliche after another, and Pesci is little more than a caricature of himself in past roles.",Love Ranch (2010)
jeanne-kaplan,fresh,,the_town,"""The Town"" is a welcome beginning to a very long season of films vying for Oscar attention. If even half are as good as this one, we're in for a heck of a ride.",The Town (2010)
jeanne-kaplan,fresh,,unstoppable-2010,Sometimes we just need a true action thriller to get us moving to the nearest movie theater.,Unstoppable (2010)
jeanne-kaplan,rotten,,burlesque,"There isn't an original thought in the entire film. If the script stinks, nothing or no one can save the movie.",Burlesque (2010)
jeanne-kaplan,fresh,,love-and-other-drugs,"""Love & Other Drugs"" is an interesting look at love in the nineties. And the added dimension of Parkinson's makes this a poignant study of the reality of relationships.",Love and Other Drugs (2010)
jeanne-kaplan,fresh,,bridesmaids_2011,"Director Paul Feig has taken Wiig's and Mumolo's terrific script and given us the first, big comedy hit of the year. And that's not something to be taken lightly.",Bridesmaids (2011)
jeanne-kaplan,fresh,,disneynature_african_cats,"This is one of those movies where everything comes together and works to make a perfect outing for ""Earth Day"". It is must-see for the entire family.",Disneynature African Cats (2011)
jeanne-kaplan,fresh,,your_highness,"For some bizarre reason, I actually found ""Your Highness"" to be reasonably funny and entertaining. Perhaps it was the sight of sweet, lovely Natalie Portman spewing such unadulterated filth that cracked me up.",Your Highness (2011)
jeanne-kaplan,fresh,,arthur_2011,"I enjoy a frivolous film every so often, especially with a talented nutcase like Brand and a terrific actress like Mirren.",Arthur (2011)
jeanne-kaplan,fresh,,hop_2011,This was the first time in a long time I can remember really craving a piece of candy during a movie,Hop (2011)
jeanne-kaplan,fresh,,trust_2010,"David Schwimmer has taken on a subject that most people would not want to touch with a 10-foot pole. And, may I add, he's done an exemplary job.",Trust (2011)
jeanne-kaplan,fresh,,win_win_2011,"McCarthy has the incredible gift of developing seemingly simple characters into the most wonderful, complex beings that we rarely see on screen.",Win Win (2011)
jeanne-kaplan,fresh,,lincoln_lawyer,My only real complaint with this movie was the little-utilized chemistry between Macy and McConaughey. They are smokin' when they are on screen together --- I wish we had been given more of them.,The Lincoln Lawyer (2011)
jeanne-kaplan,fresh,,limitless,"One has to wonder, would you take NZT if you had the opportunity?",Limitless (2011)
jeanne-kaplan,fresh,,paul,"I don't know if I've laughed this hard since ""Hot Fuzz"".",Paul (2011)
jeanne-kaplan,rotten,,battle-los-angeles,"Is this the end of the world? No, it's the end of my patience with these types of movies.",Battle: Los Angeles (2011)
jeanne-kaplan,fresh,,tangled,"The animation is so superb, it's a joy to behold.",Tangled (2010)
jeanne-kaplan,rotten,,adjustment_bureau,"I was hoping for so much more --- I wanted so much more. But unfortunately ""The Adjustment Bureau"" needs some severe adjusting.",The Adjustment Bureau (2011)
jeanne-kaplan,fresh,,unknown_white_male,"Director Jaume Collet-Serra should have entitled this ""Taken II""",Unknown (2011)
jeanne-kaplan,rotten,,just_go_with_it_2010,"I've never been a big Adam Sandler fan, but seriously, he needs to find a comedy writer, and fast!",Just Go with It (2011)
jeanne-kaplan,fresh,,gnomeo_and_juliet,Much of the charm of this film lies in the fairy tale lives of these backyard fixtures. The attention to detail is masterful.,Gnomeo and Juliet (2011)
jeanne-kaplan,fresh,,mechanic,"Granted, this is not Oscar material, and it is very violent, but I enjoyed it for what it is --- a fast-paced, shoot-em-up that's meant to help you forget the winter doldrums",The Mechanic (2011)
jeanne-kaplan,fresh,,barneys-version,Team Lewis has done a memorable job flushing out this complicated man.,Barney's Version (2011)
jeanne-kaplan,fresh,,another_year_2010,It's been a long time since we've been treated to such a simple and wonderful film.,Another Year (2010)
jeanne-kaplan,rotten,,country_strong,"January is always a tough month for movies. Unfortunately, ""Country Strong"" just made it that much tougher.",Country Strong (2011)
jeanne-kaplan,fresh,,the_kings_speech,"There are certain films which you know immediately are destined for many accolades and awards. ""The King's Speech"" is one of those.",The King's Speech (2010)
