critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
phyllis-fong,fresh,,wrestling_with_angels_playwright_tony_kushner,The film's both soothing -- as an act of recording promise -- and churningly emotive.,POV (2006)
phyllis-fong,rotten,,blossoms_of_fire_2006,"Proceeding respectfully, with a measure of skepticism, Maureen Gosling and Ellen Osborne's doc doesn't exactly crumple but loses momentum through vagueness.",Blossoms of Fire (2006)
phyllis-fong,rotten,,1167811-ballets_russes,Enacts its drama with a light editorial hand and unavoidable sentimentality.,Ballets Russes (2005)
phyllis-fong,fresh,,never_been_thawed,Passably offbeat.,Never Been Thawed (2005)
piera-chen,fresh,,too_young_to_die_2016,"The music is definitely a highlight of the film, one which helps to make the sometimes random humor and repetitiveness palatable.",Too Young to Die (2016)
piera-chen,rotten,,bittersweet_2016,"Bittersweet is an ambitiously crafted drama that makes revealing statements about affluent capitalist societies and the clash of old and new values, but fails to deliver due to sketchy characterization and weak acting.",BitterSweet (BitterSüß) (2016)
piera-chen,fresh,,god_willing_2015,God Willing is a comedy of manners with some fine acting by veterans of Italian cinema.,God Willing (Se Dio Vuole) (2015)
piera-chen,rotten,,all_you_need_is_love_2015,Even natural charmer Shu Qi's stardust fails to save the mundane storyline.,All You Need Is Love (Luo pao ba ai qing) (2015)
piera-chen,rotten,,attack_on_titan_part_2,Attack on Titan is a gore fest without the visual impact of its predecessor.,Attack On Titan: Part 2 (Shingeki no kyojin endo obu za warudo) (2015)
piera-chen,rotten,,attack_on_titan_part_1,The lack of character development also means that people sometimes behave in logic-defying ways.,Attack on Titan: Part 1 (Shingeki no kyojin) (2015)
piera-chen,rotten,,our_times_2015,"A smartly cast, sweetly nostalgic teen romance with juvenile storytelling.",Our Times (2015)
pierre-kapitaniak,rotten,,open_windows_2013,"Unless you are gifted with a preternatural capacity for suspending your disbelief, you cannot help but lose interest in what is actually happening.",Open Windows (2014)
pierre-kapitaniak,fresh,,hard_to_be_a_god_2015,This three-hour baroque and nauseous journey through mankind's worst nightmares is a lesson in cinema and humanity that one is not likely to forget.,Hard to be a God (2015)
pierre-kapitaniak,fresh,,schneider_vs_bax,"Once again, Warmerdam succeeds in creating a perfect, absurd mix of very realistic action and very unrealistic sequences of cause-and-effect, the accumulation of which fuels the plot.",Schneider vs. Bax (2015)
pierre-kapitaniak,fresh,,aaaaaaaah,"With his debut experiment, Oram vindicates the importance of slapstick comedy and fart jokes (aren't they timeless after all?)",Aaaaaaaah! (2015)
pierre-kapitaniak,fresh,,tag_2015,"The whole film is suffused with dream-like sadness and despair, which Sion Sono captures in wide shots of forests and snowy landscapes that are interspersed with the action.",Tag (Riaru Onigokko) (2015)
pierre-kapitaniak,fresh,,kurutta-ippeji-a-crazy-pagea-page-of-madness,"... [director Teinosuke] Kinugasa's technical and artistic mastery is enough to make A Page of Madness a masterpiece of Japanese and, for that matter, world avant-garde cinema...",Kurutta ippêji (A Crazy Page)(A Page of Madness) (1926)
pierre-kapitaniak,fresh,,raw_2017,"Ducournau delivers an efficient and technically mastered (but one would not expect less from a Fémis graduate) variation on the cannibal flick, which manages to keep a few twists in store alongside the more expected final feast.",Raw (2017)
pierre-kapitaniak,fresh,,the_darkness_2016,"Zimbrón manipulates our expectations, scatters contradictory clues as to what is really going on ...",The Darkness (Las tinieblas) (2016)
pierre-kapitaniak,fresh,,antiporno,Sion Sono diverts Nikkatsu's Roman Porno Reboot into a subversively playful and multi-layered take on the female condition.,Antiporno (Anchiporuno) (2017)
pierre-kapitaniak,fresh,,the_untamed_2017,Amat Escalante's SF exploration of Mexican society's attitudes to sexuality is compelling despite its overuse of the supernatural.,The Untamed (La región salvaje) (2017)
pierre-ruhe,fresh,B-,music_from_the_inside_out_2005,Here the power of music needs no further explanation.,Music From the Inside Out (2005)
piers-beckley,fresh,4/5,cats_and_dogs,"Succeeds both as a parody of the spy genre, and in stretching the boundaries of what you believe is possible.",Cats & Dogs (2001)
