critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
hannah-lemass,fresh,,song_of_granite,Song of Granite will be a very important film this year and I highly recommend it to anyone with even a passing interest in Irish culture.,Song of Granite (2017)
hannah-lynn,rotten,,the_hitmans_bodyguard,"Nothing says summer like a fun and stupid action movie with beautiful people and even more beautiful explosions. Patrick Hughes' comedic actioner is not that movie, though it wants to be.",The Hitman's Bodyguard (2017)
hannah-lynn,fresh,,kingsman_the_golden_circle,"... while this movie is completely unnecessary, it's also totally enjoyable.",Kingsman: The Golden Circle (2017)
hannah-lynn,fresh,,coco_2017,"Coco is a heartwarming story, about not only the importance of family and following your dreams, but also whether a person's mistakes are redeemable.",Coco (2017)
hannah-mcgill,rotten,3/5,shell,"Perhaps it's appropriate to a degree given the film's desolate and unpopulated setting, but there isn't quite enough content here to fill out feature length.",Shell (2013)
hannah-mcgill,fresh,3/5,broken_city,"Forgive some misconceived scenes and weird directorial decisions, and there's enough charisma and intrigue onscreen for a decent wallow in wickedness.",Broken City (2013)
hannah-mcgill,rotten,1/5,i_give_it_a_year,"These people are without exception awful, selfish and dull.",I Give It a Year (2013)
hannah-mcgill,fresh,3/5,rundskop_2012,Director Michael R Roskam makes a decent fist of drawing his weighty elements into a cohesive whole.,Rundskop (Bullhead) (2012)
hannah-mcgill,fresh,4/5,wreck_it_ralph,This cleverly-targeted family romp marks a step up both commercially and artistically for the non-Pixar side of Disney's animation offering.,Wreck-it Ralph (2012)
hannah-mcgill,fresh,4/5,antiviral,"The film sags a little in its final third, and all the white-on-white interiors get a bit wearing for the eyes; but this chip off the old block has a strong talent behind it and much to recommend it.",Antiviral (2013)
hannah-mcgill,rotten,2/5,hitchcock,"This is Hitchcock for a tabloid audience: simplistic, judgemental, smug and pat. Rewatch the actual films instead.",Hitchcock (2012)
hannah-mcgill,rotten,3/5,no_2012,"Director Pablo Larrain clearly wishes neither to sentimentalise the past, nor excoriate it with cynical satire; but this trepidation leaves his film feeling indecisive.",No (2013)
hannah-mcgill,fresh,4/5,west_of_memphis,"Diligent, complex and justly indignant.",West of Memphis (2012)
hannah-mcgill,fresh,4/5,cloud_atlas_2012,"Some will balk at its excesses, but breathtaking action, profound emotion and a dark sense of fun make this the most ambitious, original movie event in years.",Cloud Atlas (2012)
hannah-mcgill,rotten,1/5,confession_of_a_child_of_the_century,"Stunt casting has sunk this one, and Doherty should either shelve any remaining acting ambition, or invest some of his drug money in a lesson or two.",Confession of a Child of the Century (2012)
hannah-mcgill,fresh,3/5,the_wee_man,"The script's struggle to flatter its unprepossessing vigilante protagonist (he's prone to coming out with poetic self-justifying speeches, too) is unconvincing, if not arguably irresponsible.",The Wee Man (2012)
hannah-mcgill,fresh,3/5,what_richard_did,"A weighty mix of suspense, thriller and sombre social commentary ...",What Richard Did (2013)
hannah-mcgill,fresh,4/5,you_will_be_my_son,"Might [be] a little by-the-book for some viewers, but the feelings have a persuasive, bloody rawness to them.",You Will Be My Son (2013)
hannah-mcgill,fresh,3/5,cinema_komunisto,"Plenty of diverting anecdotes and intriguing talking heads, but not much deep penetration into the events and issues depicted or their wider impact.",Cinema Komunisto (2014)
hannah-mcgill,fresh,3/5,aurora_2011,It does reward close attention - and its final act comes very close to being worth one of cinema's more epic waits.,Aurora (2011)
hannah-mcgill,fresh,3/5,les_miserables_2012,"It's fun while it's on, and unless you're a die-hard musical hater, you'll head home humming.",Les Misérables (2012)
hannah-mcgill,fresh,4/5,much_ado_about_nothing_2012,"It's rather joyous to see a name director pursue a true passion project, and realise it with such simplicity, elegance and emotional directness.",Much Ado About Nothing (2013)
hannah-mcgill,rotten,2/5,the_look_of_love_2013,"A clear precursor to this film is Milos Forman's The People vs. Larry Flynt, but the depth and ambiguity that film brought to its amiable monster of a protagonist just doesn't kick in here.",The Look of Love (2013)
hannah-mcgill,fresh,4/5,the_pool,It tells a tale so sweetly elemental and classic that it could pretty much have happened along at any point in storytelling history.,The Pool (2008)
