critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
greg-bruce,fresh,,okja,"When the stuff we're watching in the theatre is mostly dross, and we're sharing not others' pleasure but their disappointment, isn't it nice to have something decent to watch at home, possibly with someone you at least sometimes like? Yes it is.",Okja (2017)
greg-burk,rotten,,masai_the_rain_warriors,A mythic quest ought to be more than pretty. It ought to stir ancient memories.,Masai: The Rain Warriors (2006)
greg-burk,fresh,,shadowboxer,"This is a sick flick. Sick, but satisfying.",Shadowboxer (2005)
greg-burk,rotten,,da_vinci_code,"The problem is the pace, which suffers when demands of explication force Howard to pull his foot off the gas.",The Da Vinci Code (2006)
greg-burk,fresh,,1158179-devil_and_daniel_johnston,[Johnston's] story opens a window on the nature of art and the power of myth.,The Devil and Daniel Johnston (2006)
greg-burk,fresh,,rape_of_the_soul,"Is Rape a hilariously stupid documentary or an ingenious put-on? Honest to God, it's hard to tell.",Rape of the Soul
greg-burk,rotten,,1144622-moog,"Largely, you get to watch a nice old guy waxing philosophical in his beloved vegetable garden, in his workshop or amid city traffic.",Moog (2004)
greg-burk,fresh,,metallica_some_kind_of_monster,Puts you eye to human eye with struggling creatures neither fully god nor fully beast.,Metallica: Some Kind of Monster (2004)
greg-burk,fresh,,star_wars_episode_i_the_phantom_menace,"I warn you, I'm gonna continue whining about the movie. Just keep in mind that I liked it.",Star Wars: Episode I - The Phantom Menace (1999)
greg-burkman,rotten,,congo,It's the first bomb of another endless summer of commercial Hollywood crap.,Congo (1995)
greg-cwik,rotten,D+,aloha_2015,"Equally hobbled by an amateurish script and vaguely defined characters, the movie's long list of mediocrities have an anonymous quality, as though the director has been completely reborn as a hack.",Aloha (2015)
greg-cwik,fresh,B+,an_open_secret,"For any filmmaker to take on wealthy and powerful Hollywood marquee names represents a tough proposition, but Berg tackles the topic with a courageous stance that's infectious.",An Open Secret (2015)
greg-cwik,fresh,3/5,the_secret_life_of_pets,"The character designs are decent and the swirling water and looming city skyline are gorgeous, but something about Pets feels overly familiar.",The Secret Life of Pets (2016)
greg-cwik,rotten,2/5,middle_school_the_worst_years_of_my_life,"There aren't many memorable visual gags or lines of dialogue, but at least Middle School plays it safe and doesn't go out of its way to be relentlessly irritating.",Middle School: The Worst Years of My Life (2016)
greg-cwik,fresh,,evolution_2016,"Evolution is a serene film, one that exists in a state of twilight sedation, but beneath the surface something stirs, like the percolating uncertainty of a boy stricken with fever and confined to his bed.",Evolution (2016)
greg-cwik,fresh,,hacksaw_ridge,"This ethical and philosophical quandary, of violence begetting enlightenment, is the soul of Gibson's artistry.",Hacksaw Ridge (2016)
greg-cwik,fresh,,de_palma,"No one kills people with the bravura relish of De Palma. He is the Michelangelo of Murder, a man who crafts decadent, deviant works of art using viscera and celluloid in lieu of paint.",De Palma (2016)
greg-cwik,fresh,,the_neon_demon,"With The Neon Demon, [director Nicolas Winding Refn] vivisects the idea of surface-level pleasure by creating a frightening world of surfaces gleaming with pleasure.",The Neon Demon (2016)
greg-cwik,fresh,,creepy,"[Director Kiyoshi] Kurosawa's approach to horror - quiet, calm, collected scenes of quotidian normality laced by that lingering feeling of something wicked this way coming - feels refreshingly out of touch.",Creepy (Kuripi: Itsuwari no rinjin) (2016)
greg-cwik,fresh,3/4,brawl_in_cell_block_99,Brawl in Cell Block 99's economy of storytelling is as efficiently brutal as the eventual skull-crackings.,Brawl in Cell Block 99 (2017)
greg-cwik,rotten,1/5,morgan_2016,Pseudo-science thriller Morgan manages the impressive feat of being simultaneously moronic yet utterly indistinct.,Morgan (2016)
greg-cwik,fresh,3.5/4,let_the_sunshine_in,Claire Denis finds the inexorable beauty (and sadness) in that most corrosive and fugacious of feelings.,Let the Sunshine In (Un beau soleil intérieur) (2017)
greg-cwik,rotten,2/4,sylvio,"Sylvio's banal depictions of everyday loneliness through the diurnal tedium of an anthropomorphic animal brings to mind BoJack Horseman, but without the caustic navel-gazing and self-destruction or the mordant pop-culture musings.",Sylvio (2017)
