critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
pat-stacey,fresh,,surviving_sandy_hook,The feeling you took away at the end was one of common sense crushed by idiocy.,Surviving Sandy Hook (2015)
pat-stacey,rotten,,a_very_murray_christmas,"Murray, who genuinely seems to fancy himself as a bit of a crooner, bludgeoning his way through a number of Christmas standards in a cracked, scratchy voice suggests he's taking his ego for a sleigh ride.",A Very Murray Christmas (2015)
pat-stacey,fresh,,gosford_park,"This a marvellously entertaining confection, served up with a wonderfully light touch",Gosford Park (2001)
pat-stacey,rotten,,queen_of_the_damned,The result is a film that's as camp as Butlins but nowhere near as much fun and full of awful performances and silly dialogue,Queen of the Damned (2002)
pat-stacey,fresh,,kpax,Who else but [Jeff] Bridges could invest a mouldering cliché like the world weary shrink who can solve everyone's problems but not his own with such depth and feeling? What a truly wonderful actor he is.,K-PAX (2001)
pat-stacey,rotten,,dont_say_a_word,"Don't Say a Word is mediocre, shrink-wrapped Hollywood pap.",Don't Say a Word (2001)
pat-stacey,fresh,,ali,"A flawed film, then, and a comparative disappointment. But because of Smith, the scrupulous recreation of the period and the general quality of the performances, I'll score Ali a narrow victory on points.",Ali (2001)
pat-stacey,fresh,,the_royal_tenenbaums,"Suffused with warmth and colour, and making liberal and inventive use of flashbacks, captions, voiceover and even chapter headings to break up the story, The Royal Tenenbaums won't be to everybody's taste, but it is a blast of original, irreverent air.",The Royal Tenenbaums (2002)
patricia-garcia,fresh,,amanda_knox,"The point of Amanda Knox isn't to determine whether or not Knox and Sollecito were guilty, rather it analyzes how they became swept up in this media circus in the first place.",Amanda Knox (2016)
patricia-garcia,fresh,,20th_century_women,"What 20th Century Women shows us is more than just a family drama; it's that if you look closely enough, anyone's life, however small it may seem, is a story worth telling.",20th Century Women (2017)
patricia-garcia,fresh,,diana_our_mother_her_life_and_legacy,"Diana, Our Mother: Her Life and Legacy has a number of revelations that will be a treat for those who still remember the woman who graced the cover of People magazine a record number of 57 times.","Diana, Our Mother: Her Life and Legacy (2017)"
patricia-hluchy,rotten,2/4,down_to_the_dirt,We know how his story will unfold.,Down to the Dirt (2008)
patricia-hluchy,fresh,3/4,,Dr. James Orbinski revisits Africa in this deeply affecting documentary.,
patricia-hluchy,fresh,3/4,flow_for_love_of_water,Salina's film might have been stronger had it not tried to cover so many water-related issues. But there's no denying its power.,Flow: For Love of Water (2008)
patricia-oconnell,rotten,,the_women_of_windsor,The Women of Windsor is a good-looking but unabsorbing rehash of the marriages of the Princess of Wales and the Duchess of York.,The Women of Windsor (1992)
patricia-s-mccormick,fresh,,santa_clause,Home Improvement fans will find plenty of laughs and may even consent to going to this movie with their little brothers and sisters.,The Santa Clause (1994)
patricia-s-mccormick,fresh,3/5,barneys_great_adventure,"Although the film is longer than the television and video segments children this age are accustomed to, the pacing is brisk enough to hold them.",Barney's Great Adventure (1998)
patricia-treble,fresh,,mr_turner,It's actor Timothy Spall who brings what could have been a two-dimensional caricature to life.,Mr. Turner (2014)
patricia-treble,rotten,,fifty_shades_of_grey,"While there's some meat to Dakota Johnson's role of the ingenue, Jamie Dornan is given absolutely nothing to work with for most of the film.",Fifty Shades of Grey (2015)
patricia-treble,fresh,,spy_2015,"After credits at the end of Spy started rolling, I had a hankering to see it again.",Spy (2015)
patricia-treble,fresh,,mr_holmes,"Mr. Holmes may not feature virtuoso displays of deductive prowess. Its elegiac ode to aging, however, is no less compelling than the more youthful reimaginings of Holmes, of which there have been so many of late.",Mr. Holmes (2015)
patricia-treble,fresh,,a_royal_night_out,"Elevated by a delightful performance from Bel Powley, it sits squarely in the middle of the range of royal films to be enjoyed, but not remembered.",A Royal Night Out (2015)
patricia-treble,fresh,,fantastic_beasts_and_where_to_find_them,No need for viewers to have immersed themselves in the seven books to understand and like this film. Yet there are enough hints of Rowling's world to give those in the know some satisfaction.,Fantastic Beasts and Where to Find Them (2016)
patrick-byrne,rotten,69/100,electra,Quote not available.,Electra (1995)
patrick-byrne,fresh,90/100,slap,Quote not available.,The Slap (La gifle) (1976)
patrick-byrne,rotten,53/100,indecent_behavior_4,Quote not available.,Indecent Behavior 4 (1997)
patrick-byrne,fresh,75/100,jacks_back,Quote not available.,Jack's Back (1988)
patrick-byrne,fresh,94/100,juliet_of_the_spirits,"It is arguably Fellini's most personal masterpiece, but those who may have stumbled upon it and don't know much about Fellini's films most certainly couldn't choose a better one to start with.",Juliet of the Spirits (Giulietta degli Spiriti) (1965)
patrick-byrne,fresh,84/100,smokey_and_the_bandit,The true mark of a good action flick is that it knows when to play dumb and when not to.,Smokey and the Bandit (1977)
patrick-byrne,fresh,87/100,1038009-rush,"A gritty look at drug addiction, moral consequences and ethically questionable scenarios from the perspective of a couple of undercover cops in the deep south of Texas.",Rush (1999)
patrick-byrne,fresh,86/100,shock_corridor,Quote not available.,Shock Corridor (1963)
patrick-byrne,fresh,75/100,1074503-stepford_wives,"The story is built on a foundation of fear and paranoia, yet it manages to give us a satisfying conclusion, proving that sometimes our sixth sense is not so far off.",The Stepford Wives (1975)
patrick-byrne,fresh,89/100,dead_ringers,"Moody, visceral, and gut-wrenching.",Dead Ringers (1988)
patrick-byrne,fresh,90/100,celluloid_closet,"Like a scrapbook of movie memorabilia from some of the greatest films ever made, it's a welcome look back at the ever-changing times of the world around us.",The Celluloid Closet (1996)
patrick-byrne,rotten,67/100,chasing_sleep,A disappointment from start to finish.,Chasing Sleep (2000)
patrick-byrne,fresh,94/100,last_tango_in_paris,"Its true legacy is in the masterful performances... full of obsessed longing, utter disillusionment and sheer depravity.",Last Tango in Paris (1972)
patrick-byrne,fresh,79/100,1053942-wolf,"It is movies like Wolf that reinvigorate the movie fan lurking inside us all, showing us that commercial and artistic success can truly coexist in modern cinema.",Wolf (1994)
patrick-byrne,fresh,92/100,wild_strawberries,...a touching look at old age and how memories from the past can affect us as mature beings.,Wild Strawberries (1957)
patrick-byrne,fresh,90/100,minus_man,Quote not available.,The Minus Man (1999)
patrick-byrne,fresh,92/100,the_wanderers_1979,Quote not available.,The Wanderers (1979)
patrick-byrne,fresh,85/100,1007141-fatal_attraction,"Overflowing with artistic flair and piercing sexuality, director Adrian Lyne's Fatal Attraction is a psychological horror film that dwells on reality instead of fantasy.",Fatal Attraction (1987)
patrick-byrne,fresh,88/100,bite_the_bullet,"Bite the Bullet may be many things, but boring it's not.",Bite the Bullet (1975)
patrick-byrne,fresh,90/100,slap_shot,"This film is full of friendly slap shots, romantic icing, and passionate goals. It's well worth checking out.",Slap Shot (1977)
patrick-byrne,fresh,88/100,macbeth-1972,"Forces Shakespeare into the modern terrain of sickly spiralling sensibilities, with blood, lust, and madness at the forefront.",Macbeth (1971)
patrick-byrne,fresh,84/100,1030864-desperate_hours,Quote not available.,Desperate Hours (1990)
patrick-byrne,fresh,91/100,boogie_nights,"I would be lying if I said that Boogie Nights is anything but a perfect movie; at the very least, it is a film that delivers everything I am looking for in a film.",Boogie Nights (1997)
patrick-byrne,fresh,74/100,the-coca-cola-kid,Quote not available.,The Coca Cola Kid (1985)
patrick-byrne,rotten,5/100,,Quote not available.,
patrick-byrne,fresh,68/100,anatomie,Quote not available.,Anatomie (2000)
patrick-byrne,fresh,76/100,session_9,Quote not available.,Session 9 (2001)
patrick-byrne,fresh,88/100,insomnia_1998,Quote not available.,Insomnia (1998)
patrick-byrne,fresh,81/100,open_your_eyes_1999,"A jigsaw puzzle of passion and lust, desire and pain.",Open Your Eyes (Abre los Ojos) (1999)
patrick-byrne,fresh,93/100,outlaw_josey_wales,One of the best westerns ever filmed in the modern age.,The Outlaw Josey Wales (1976)
patrick-byrne,fresh,81/100,felicias_journey,Quote not available.,Felicia's Journey (1999)
patrick-byrne,fresh,88/100,romper_stomper,"I like to think of it as a fury-filled documentary on how hate is not just an American preoccupation. Remember, this is the way things are -- deal with it.",Romper Stomper (1993)
patrick-byrne,fresh,88/100,unbearable_lightness_of_being,Quote not available.,The Unbearable Lightness of Being (1988)
