critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
frank-ombres,fresh,,lenny_cooke_2013,"That the first half of the film is largely older footage (previously shot for an earlier project by Adam Shopkorn) endows it with wistfulness. No matter how merry the events, they're obviously distant fragments of a broken dream.",Lenny Cooke (2013)
frank-pasquine,fresh,7.8/10,the_rolling_stones_charlie_is_my_darling_ireland_1965,Any Rolling Stones fan -- and quite a few who don't necessarily identify with the band -- will find much that is endearing in Charlie is my Darling.,The Rolling Stones: Charlie Is My Darling - Ireland 1965 (2012)
frank-rich,fresh,,national_lampoons_animal_house,The Lampoon people understand the darkest secret of an American college education: one of the noblest reasons to go is to spend four years studying sex.,National Lampoon's Animal House (1978)
frank-rich,fresh,,corvette_summer,"As long as one doesn't demand too much of it, Corvette Summer delivers a very pleasant two hours of escape.",Corvette Summer (1978)
frank-rich,rotten,,saint_jack,"If Saint Jack is not another complete embarrassment for Bogdanovich, it nonetheless reveals his deficiencies as a film maker.",Saint Jack (1979)
frank-rich,rotten,,all_that_jazz,"Though Scheider is a wry, sensitive actor, he soon gets lost in the vulgar theatrics.",All That Jazz (1979)
frank-rich,rotten,,meatballs,"Through it all, Murray smiles and forges ahead, but his big riffs have been edited down to frantic bursts of mugging.",Meatballs (1979)
frank-rich,fresh,,1014217-moonraker,"Broccoli just keeps piling on the goodies: lush Ken Adam sets, gadgetry and gams galore, super stunts and effects.",Moonraker (1979)
frank-rich,fresh,,deer_hunter,"This excruciatingly violent, three-hour Viet Nam saga demolishes the moral and ideological cliches of an era: it shoves the audience into hell and leaves it stranded without a map.",The Deer Hunter (1978)
frank-rich,fresh,,kramer_vs_kramer,Benton gives his film its depth and complexity by challenging the audience's preconceptions and snap opinions at every turn.,Kramer vs. Kramer (1979)
frank-rich,rotten,,black_stallion,Ballard's sumptuous images exist only to distract from his rather conventional failings of craftsmanship.,The Black Stallion (1979)
frank-rich,fresh,,i_wanna_hold_your_hand,I Wanna Hold Your Hand re-creates precisely the excitement the Beatles let loose 14 years ago; it transports the audience back to the eye of a phenomenal social hurricane.,I Wanna Hold Your Hand (1978)
frank-rich,fresh,,1009427-heaven_can_wait,"[The film] has everything going for it: big laughs, populist politics, billowy sequences set in heaven, a murder plot, a climactic Super Bowl game, a supporting cast of choice comic actors, and best of all, a touching (but PG) romance.",Heaven Can Wait (1978)
frank-rich,rotten,,cruising,This detective melodrama has something to offend almost everyone.,Cruising (1980)
frank-rich,fresh,,being_there,Here is a comedy that valiantly defies both gravity and the latest Hollywood fashion.,Being There (1979)
frank-rich,fresh,,close_encounters_of_the_third_kind,"[Spielberg's] new movie is richer and more ambitious than Jaws, and it reaches the viewer at a far more profound level than Star Wars.",Close Encounters of the Third Kind (1977)
frank-rich,fresh,,wise_blood,"This time, Huston has found material that was all but guaranteed to fuel the battiest recesses of his imagination.",Wise Blood (1979)
frank-rich,fresh,,1012506-little_romance,"The film's portrait of young love may be touching, but its most moving moments celebrate love of a different kind: the passion that movie professionals, both young and old, have for their craft.",A Little Romance (1979)
frank-rich,rotten,,alien,"It is depressing to watch an expensive, crafty movie that never soars beyond its cold desire to score the big bucks.",Alien (1979)
frank-s-nugent,fresh,,great_ziegfeld,"If the picture overcrowds its screen, at least we must admit it is an impressive kaleidoscope; and probably nothing short of that could reflect the gaudy career of America's foremost showman.",The Great Ziegfeld (1936)
frank-s-nugent,fresh,5/5,1019774-stagecoach,John Ford has swept aside ten years of artifice and talkie compromise and has made a motion picture that sings a song of camera.,Stagecoach (1939)
frank-s-nugent,fresh,,the_wizard_of_oz_1939,A delightful piece of wonder-working which had the youngsters' eyes shining and brought a quietly amused gleam to the wiser ones of the oldsters.,The Wizard of Oz (1939)
frank-s-nugent,rotten,,bringing_up_baby,"If you've never been to the movies, Bringing Up Baby will be all new to you -- a zany-ridden product of the goofy farce school. But who hasn't been to the movies?",Bringing Up Baby (1938)
frank-s-nugent,fresh,,his_girl_friday,"It takes you by the scruff of the neck in the first reel and it shakes you madly, bellowing hoarsely the. while, for the remaining six or seven. Before it's over you don't know whether you have been laughing or having your ears boxed.",His Girl Friday (1940)
frank-s-nugent,fresh,4/5,1014536-my_man_godfrey,There may be a sober moment or two in the picture; there may be a few lines of the script that do not pack a laugh. Somehow we cannot remember them.,My Man Godfrey (1936)
frank-s-nugent,fresh,3/5,la_grande_illusion,"Renoir has created a strange and interesting film, but he owes much to his cast.",La Grande illusion (Grand Illusion) (1938)
frank-s-nugent,fresh,,1048445-snow_white_and_the_seven_dwarfs,"It is a classic, as important cinematically as The Birth of a Nation or the birth of Mickey Mouse.",Snow White and the Seven Dwarfs (1937)
