critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
catherine-mayer,rotten,,diana_2013,"Why, oh why, oh why? Oh. Why?",Diana (2013)
catherine-mcintyre,fresh,3/4,mountain_men_2016,"In Mountain Men, Labine and his cast achieve a hard-to-strike balance of comedy and heart-felt drama while maintaining a subtleness that respects your adult attention span.",Mountain Men (2016)
catherine-pearson,fresh,4/5,le_doulos,Jean-Pierre Melville presents a murky criminal underworld in his gangland classic.,Le Doulos (1962)
catherine-pearson,fresh,4/5,captain_underpants_the_first_epic_movie,"A snappy animated comedy with a lovely, gooey, sentimental heart.",Captain Underpants: The First Epic Movie (Captain Underpants) (2017)
catherine-pearson,fresh,3/5,chasing_coral,"The message will stay with you, but so will the nagging sense that you can't really do anything unless you happen to be a world leader.",Chasing Coral (2017)
catherine-scroop,rotten,2/5,holy_man,"The script has many glaring flaws, chiefly, that it never explains why G's inspirational speeches about steering clear of materialism and useless products actually sell the things in question.",Holy Man (1998)
catherine-shoard,rotten,2/5,reuniting_the_rubins_2011,Rubins ultimately sinks beneath the weight of its own gubbins.,Reuniting The Rubins (2012)
catherine-shoard,rotten,1/5,the_human_centipede_ii,"This is tension-free torture porn, whose perpetrator's actions aren't just banal and consequence-free, they're endlessly justified by an abusive back-story.",The Human Centipede II (Full Sequence) (2011)
catherine-shoard,rotten,2/5,abduction_2011,"Sigourney Weaver? After Avatar, surely she doesn't need the cash?",Abduction (2011)
catherine-shoard,fresh,3/5,broken-lines,"There's a stonking cast - Paul Bettany as the waitress's disabled partner, Rita Tushingham as a knackered caff worker, Olivia Williams as the glossy fiancee - but they're saddled with dialogue sagging with thematic relevance or site-specific colour.",Broken Lines (2008)
catherine-shoard,fresh,3/5,crazy_stupid_love_2011,It ties its strands together a touch too tightly two-thirds of the way through - but still leaves enough hanging at the end to be credible.,"Crazy, Stupid, Love. (2011)"
catherine-shoard,rotten,2/5,killer_elite_2011,"Jason Statham is matched with Robert de Niro and Clive Owen in this headcracking hitman yarn, but it's a bit overcomplicated for its own good.",Killer Elite (2011)
catherine-shoard,fresh,3/5,butter_2011,"There's a badly ill-judged cameo from Hugh Jackman, but also a good spoonful of laugh-out-loud gags, particularly those involving the red tape of local civic talent contests.",Butter (2012)
