critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
david-segal,fresh,,24_hour_party_people,Smart and grabby enough to work even if you think 'Love Will Tear Us Apart' is a bummer of a fortune cookie rather than a Joy Division tune.,24 Hour Party People (2002)
david-segal,fresh,,the_last_waltz_1978,"It's a joy to hear again the scruffy, rough-hewn music of the Band.",The Last Waltz (1978)
david-segal,rotten,0.5/5,1110236-wash,"There's precious little to listen to, laugh at or ogle.",The Wash (2001)
david-segal,rotten,,groove,By the end ... we're wishing the lot of them would either overdose or go to bed.,Groove (2000)
david-sexton,fresh,3/5,trance_2013,It's trippily entertaining but vanishes up its own tricksiness. What will the blessed Boyle do next?,Trance (2013)
david-sexton,rotten,2/5,spring_breakers_2013,You start the film wondering what the moral take on all this uninventive debauchery is going to be - is it a satire? - but then realise with dismay there is no take on offer at all.,Spring Breakers (2013)
david-sexton,rotten,2/5,oblivion_2013,"Although the film is derivative and predictable, it nonetheless makes no sense whatsoever in the end.",Oblivion (2013)
david-sexton,fresh,3/5,the_look_of_love_2013,"The Soho of the Seventies is lovingly recreated, Coogan sports a truly dreadful mullet, and there's a lovely cameo by David Walliams as a salacious vicar.",The Look of Love (2013)
david-sexton,fresh,3/5,olympus_has_fallen_2013,"Reactionary fantasy, then - but what else are action films for?",Olympus Has Fallen (2013)
david-sexton,rotten,2/5,im_so_excited,"In a more or less wholly libertarian society of the kind we now have in the West, the very idea of camping it up like this seems unnecessary, therefore tiresome.",I'm So Excited! (2013)
david-sexton,rotten,2/5,the_great_gatsby_2013,"The problem is that in such a raucous adaptation, the cast can only act coarsely, too.",The Great Gatsby (2013)
david-sexton,rotten,2/5,byzantium_2012,"As a sketch of life on the margins in a tatty seaside resort, it works well enough. As an action pic, though, it's just too slow, too long.",Byzantium (2013)
david-sexton,fresh,4/5,the_stone_roses_made_of_stone,"It's an adulatory recording of the band - that's right, he adores them - but it's much more than that.",The Stone Roses: Made of Stone (2013)
david-sexton,fresh,5/5,before_midnight_2013,"So much better written than contemporary novels, this film is a literary as well as cinematic achievement to cherish. For grown-ups.",Before Midnight (2013)
david-sexton,fresh,3/5,jack_the_giant_slayer,"A story of derring do and social climbing, serving as an excuse for colossal battles with a load more orcs, the true purpose of the movie.",Jack the Giant Slayer (2013)
david-sexton,fresh,5/5,the_act_of_killing,"It's one of the most gruelling and disturbing films you will ever see but, if you want the truth, essential.",The Act Of Killing (2013)
david-sexton,fresh,4/5,stories_we_tell,What saves it is our realisation that it isn't just a documentary.,Stories We Tell (2013)
david-sexton,rotten,2/5,the_bling_ring_2013,"Soon reveals itself to be grimly repetitious, simply showing these kids stealing, then partying, taking pictures of themselves and putting them on Facebook, over and over again, until they are caught.",The Bling Ring (2013)
