critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
paul-malcolm,fresh,,shrek,Murphy steals every scene he's in with equal parts bounce and warmth.,Shrek (2001)
paul-malcolm,rotten,,happiness_of_the_katakuris,"An amusing scenario, until even Miike seems to lose his taste for the oddly sweet concoction and allows the film to drift aimlessly to a rainbow-hued finale.",The Happiness of the Katakuris (2001)
paul-malcolm,rotten,,looking_through_lillian,Torem drifts into formula and his initially promising film goes unbearably soft.,Looking Through Lillian (2002)
paul-malcolm,rotten,,1110769-city_of_lost_souls,"While the film throws a solid pop punch, you could still swear you've seen it all before.",The City of Lost Souls (Hyôryû-gai) (2001)
paul-malcolm,rotten,,1116774-swept_away,"On top of a foundering performance, [Madonna's] denied her own athleticism by lighting that emphasizes every line and sag.",Swept Away (2002)
paul-malcolm,rotten,,american_adobo,"Guillen rarely gets beneath the surface of things. She lists ingredients, but never mixes and stirs.",American Adobo (2002)
paul-malcolm,rotten,,ambush,[It has] a humanist touch that stands at odds with the film's wholesale demonizing of the scattered Soviet army.,Rukajärven tie (Ambush) (2002)
paul-malcolm,rotten,,jonah_a_veggietales_movie,Your taste for Jonah - A Veggie Tales Movie may well depend on your threshold for pop manifestations of the Holy Spirit.,Jonah - A VeggieTales Movie (2002)
paul-malcolm,fresh,,adventures_of_felix,It would all be too obviously feel-good if Ducastel and Martineau weren't also tuned in to the liberating drift of the open highway and a sharp native humor that adds needed flesh and blood to their walking metaphors.,Adventures of Felix (2001)
paul-malcolm,fresh,,girls_cant_swim,The film's intimate camera work and searing performances pull us deep into the girls' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that's opened between them.,Girls Can't Swim (2002)
paul-malcolm,rotten,,wasabi,The film lapses too often into sugary sentiment and withholds delivery on the pell-mell pyrotechnics its punchy style promises.,Wasabi (2001)
paul-malcolm,rotten,,ballistic_ecks_vs_sever,"While much of the film's action ... comes live, as opposed to the digital mayhem of the game, Thai director Kaos (a.k.a. Wych Kaosayananda), making his inauspicious Hollywood debut, still can't breathe any life into it.",Ballistic: Ecks vs. Sever (2002)
paul-malcolm,rotten,,crop_circles_quest_for_truth,"Why Crop Circles now, if not to ride the hype of M. Night Shyamalan's Signs to some quick cash? The movie's rambling, slapdash, repetitious nature suggests as much.",Crop Circles: Quest for Truth (2002)
paul-malcolm,rotten,,i_spy,"Thomas trudges through the film's action sequences with such obvious disinterest that when Wilson turns from a lackluster fireball to quip, 'Whoa, that was a big explosion,' you really know he's putting us on.",I Spy (2002)
paul-malcolm,fresh,,40_days_and_40_nights,Hartnett's pitch-perfect sexual panic can be hilariously funny.,40 Days and 40 Nights (2002)
paul-malcolm,rotten,,adventures_of_pluto_nash,Dismally dull sci-fi comedy.,The Adventures of Pluto Nash (2002)
paul-malcolm,fresh,,pauline_and_paulette,"The film's plainness, and the understated force of van der Groen and Petersen's performances, sharpen its complexity of feeling until all mawkishness is cut away.",Pauline & Paulette (2002)
paul-malcolm,fresh,,session_9,A deft exercise in atmospheric horror and insanity.,Session 9 (2001)
paul-malcolm,fresh,,xxx,Diesel smolders as bad boy with spy toys Xander Cage.,XXX (2002)
paul-malcolm,fresh,,atanarjuat_the_fast_runner_2002,"The director has fixed this Arctic potboiler, passed down through the ages as part of a rich oral tradition, onto digital video with ... breathtaking punch and such a sweeping sense of immediacy.",Atanarjuat: The Fast Runner (Atanarjuat) (2002)
paul-malcolm,rotten,,1113649-enigma,Jericho and Hester spend so much time on investigative idylls in the damp spring countryside that spy work starts to seem like a military garden party.,Enigma (2002)
paul-malcolm,rotten,,sorority_boys,"The premise for this kegger comedy probably sounded brilliant four six-packs and a pitcher of margaritas in, but the film must have been written ... in the thrall of a vicious hangover.",Sorority Boys (2002)
paul-malcolm,fresh,,1114694-home_movie,What's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an Ikea world.,Home Movie (2001)
paul-malcolm,rotten,,jason_x,"The gore comes with brutal regularity, so that, despite Farmer and Isaac's attempts to liven things up, the film still just wears you down.",Jason X (2002)
paul-malcolm,fresh,,nine_queens,Serves as further evidence that Argentina's film industry is at the forefront of a resurgent Latin American cinema.,Nine Queens (Nueve reinas) (2002)
paul-malcolm,rotten,,1114051-enough,"A very mechanical revenge fantasy that skirts every serious issue it raises along a slick, cynical trajectory.",Enough (2002)
paul-malcolm,fresh,,star_wars_episode_i_the_phantom_menace,"Far from a shattering blow to my faith in Star Wars, I believe that in time these new films will only make it stronger.",Star Wars: Episode I - The Phantom Menace (1999)
paul-malcolm,rotten,,amys_o,It's supposed to be post-feminist breezy but ends up as tedious as the chatter of parrots raised on Oprah.,Amy's O (Amy's Orgasm) (Why Love Doesn't Work) (2002)
paul-malcolm,fresh,,jackass_the_movie,Best wear a helmet and have some fun.,Jackass - The Movie (2002)
paul-malcolm,fresh,,too_much_sleep,Plays like a refreshing return to that point in the mid-1990s before independent film had been co-opted by corporate subsidiaries.,Too Much Sleep (2001)
paul-malcolm,rotten,,reign_of_fire,"Despite a few epic revelations, we never get a real sense of living, breathing dragons.",Reign of Fire (2002)
paul-malcolm,fresh,,shadow_company,"[A] fascinating, evenhanded documentary.",Shadow Company (2007)
paul-malcolm,fresh,,cut_sleeve_boys,"[Director] Yeung handles [his characters'] parallel journeys of self-discovery with humor, grace and an occasionally heavy hand, with Leow giving a winning performance as Ash.",Cut Sleeve Boys (2007)
paul-malcolm,rotten,,the_last_confederate_the_story_of_robert_adams_2005,"It's easy to keep blaming Ken Burns for this kind of softcore Civil War porn, but enough is enough: This is a vanity project of the most indulgent order.",The Last Confederate: The Story of Robert Adams (2005)
paul-malcolm,rotten,,fakers_2004,"Such artless inattention to the con man's craft might be overlooked if any of the characters or performers had the personality to pull one over on us, the audience.",Fakers (2004)
paul-malcolm,fresh,,against_the_wall,"It's a setup as old as the hills, but the unvarnished simplicity with which first-time director Benjamin Morgan rolls it out makes the tale worth another go-round.",Quality of Life (Against The Wall) (2006)
paul-malcolm,rotten,,american_haunting,"This 'true account' of the Bell Witch haunting offers an encyclopedic rehash of spook films new and old, dressed out in murky period detail.",An American Haunting (2006)
paul-malcolm,fresh,,way_home,A conventional if appealing tear-jerker.,The Way Home (Jibeuro) (2002)
paul-malcolm,fresh,,squid_and_the_whale,"in The Squid and the Whale, Noah Baumbach weds his verbal gifts to a fresh visual acuity that brings layers of rich detail to a portrait of a family coping, poorly, with self-inflicted change.",The Squid and the Whale (2005)
paul-malcolm,rotten,,serenity,"It's the zippy chatter among the Serenity's wised-up space pirates that gives the film most of its punch, but with only serviceable action sequences and largely cookie-cutter effects, you can still sense the void just outside.",Serenity (2005)
paul-malcolm,fresh,,a_state_of_mind_2005,"Gordon gives an intimate, balanced account of how political power, famine, power shortages and a hatred of America have shaped their young lives.",A State of Mind (2005)
paul-malcolm,rotten,,10005180-matando_cabos,"Prominently placed in Jaque's bachelor pad is a poster for Down by Law, but it's abundantly clear that Lozano and company have been re-watching Pulp Fiction for the last decade.",Killing Ends (Matando Cabos) (2005)
paul-malcolm,rotten,,dukes_of_hazzard,"As a salvo in the culture wars, Dukes of Hazzard is a dud, and as an actual movie it doesn't rate much higher.",The Dukes of Hazzard (2005)
paul-malcolm,fresh,,gigantic,"The Giants' longevity flows from the fact that they can't be explained, only experienced.",Gigantic (2002)
paul-malcolm,rotten,,fog,A film riddled with missed opportunities for good clean scares.,The Fog (2005)
paul-malcolm,fresh,,1117309-fidel,It's a refreshing change from the self-interest and paranoia that shape most American representations of Castro.,Fidel (2002)
paul-malcolm,rotten,,spun,"While his characters wallow and his wasted cast founders in the shoals of Will De Los Santos and Creighton Vero's script, Åkerlund apes the tics of his primary influences: Oliver Stone, Darren Aronofsky and the photography of David LaChapelle.",Spun (2003)
paul-malcolm,rotten,,juwanna_mann,Vaughan brings such disregard to the film that its pedestrian on-court action might as well have been shot from the bleacher seats.,Juwanna Mann (2002)
paul-malcolm,fresh,,lilo_and_stitch,Disney's most winning animated couple since Bambi and Thumper.,Lilo & Stitch (2002)
paul-malcolm,rotten,,1115907-1115907-they,"Stinks from start to finish, like a wet burlap sack of gloom.",They (2002)
paul-malcolm,fresh,,trembling-before-gd,"Moving and, ultimately, hopeful -- a hope that extends further than most documentaries allow.",Trembling Before G-d (2001)
paul-malcolm,rotten,,star_trek_nemesis,"Nemesis never feels true to itself, its energy never fully engaged.",Star Trek - Nemesis (2002)
paul-malcolm,fresh,,promises,Too sincere to exploit its subjects and too honest to manipulate its audience.,Promises (2002)
paul-malcolm,rotten,,skins,"Rather quickly, the film falls into a soothing formula of brotherly conflict and reconciliation.",Skins (2002)
paul-malcolm,rotten,,rollerball,Pushes the Hollywood action movie to stratospheric new levels of incoherence.,Rollerball (2002)
paul-malcolm,rotten,,dragonfly,"Despite the film's aspirations to soul healing, its uplift remains mechanical, like an escalator's.",Dragonfly (2002)
paul-malcolm,rotten,,jungle_book_2,It can't shake the impression of a video premiere stretched to big-screen size.,The Jungle Book 2 (2003)
paul-malcolm,rotten,,poolhall_junkies,A one-way ticket to Palookaville.,Poolhall Junkies (2002)
paul-malcolm,fresh,,take_care_of_my_cat,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age.,Take Care of My Cat (2002)
paul-matwychuk,fresh,,solaris,"Solaris is what you'd call a ""thinking person's sci-fi film,"" and it has all the strengths and weaknesses that that term implies.",Solaris (2002)
paul-matwychuk,rotten,,truth_about_charlie,"Never do you get the feeling that anybody is in any real danger, or that there's any real attraction between Newton and Wahlberg-and when you're making a caper film that doesn't have any suspense or romance in it, there's not a hell of a lot else left for",The Truth About Charlie (2002)
paul-matwychuk,rotten,,heaven,Arthouse hokum.,Heaven (2002)
paul-matwychuk,fresh,,the_grey_zone,"It's hard to imagine anybody ever being ""in the mood"" to view a movie as harrowing and painful as The Grey Zone, but it's equally hard to imagine anybody being able to tear their eyes away from the screen once it's started.",The Grey Zone (2002)
paul-matwychuk,fresh,,igby_goes_down,Writer/director Burr Steers displays a pitch-perfect sense of the way Igby is at once repelled by his family and his upbringing and yet an unmistakable product of it.,Igby Goes Down (2002)
paul-matwychuk,fresh,,ring,Nothing in Gore Verbinski's previous résumé indicated he had the ability to create the lingering atmosphere of low-key dread he displays in The Ring.,The Ring (2002)
