critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
jesse-david-fox,fresh,,maria_bamford_old_baby_2017,"Maria Bamford is a genius, able to play with form without the ego or cynicism of many lauded deconstructionists. Her comedy and invention is self-inspired.",Maria Bamford: Old Baby (2017)
jesse-david-fox,fresh,,michelle_wolf_nice_lady,"The result is an uncommonly confident, focused hour of comedy, all balanced with [Michelle] Wolf's tight yet often quite silly joke-writing.",Michelle Wolf: Nice Lady (2017)
jesse-david-fox,fresh,,jerry_before_seinfeld,"He tends to start with a small idea, then figure out the big idea behind his observation, then figure out the shortest way to communicate the absurdity of that imbalance - the absurdity of putting so much stock into the smallest thing possible.",Jerry Before Seinfeld (2017)
jesse-david-fox,fresh,,,"Just like the two hours I watched 14 years ago, watching these two hours makes it feel like Chappelle is working toward something. It's his way of telling us, ""I'm around, I'm doing shows, and I'm having a great time.""",
jesse-david-fox,fresh,,,The Age of Spin succeeds because Chappelle focuses less on current events and more on the culture surrounding them.,
jesse-green,rotten,,the_rocky_horror_picture_show_lets_do_the_time_warp_again,"Though camp at its best flirts with amateurism, and even failure, this production does more than flirt; it pretty much goes all the way to disaster.",The Rocky Horror Picture Show: Let's Do the Time Warp Again (2016)
jesse-green,fresh,,grease_live,"The three-hour production (almost a third of it, seemingly, commercials) was filled with marvelous moments like this: theatrical reveals, cinematic dissolves, television tempos.",Grease: Live! (2016)
jesse-green,rotten,,the_wiz_live,"Worse, but by now traditional, the pacing was patchy, leaving weird holes in the action through which the show's energy seeped away. Neither the stage direction (by Kenny Leon) nor the camera direction (by Matthew Diamond) solved those problems.",The Wiz Live! (2015)
jesse-green,fresh,,the_last_5_years,How delicious that one of the best movie musicals in years -- and one of the best musical adaptations ever -- concedes that the job is almost too tough to do.,The Last 5 Years (2015)
jesse-hamlin,rotten,2/4,pokemon_the_movie_2000,There's a lot of motion but scant emotion.,Pokemon - The Movie 2000 (2000)
jesse-hamlin,fresh,2/4,beijing_bicycle,This is a moderately engaging tale.,Beijing Bicycle (2001)
jesse-hamlin,fresh,3/4,great_day_in_harlem,"It's a funny and moving film whose swinging rhythms and informal tone capture a feeling for the music, the people who make it and the affection and respect they feel for each other and the art form.",A Great Day in Harlem (1995)
jesse-hassenger,fresh,7/10,short_term_12_2013,"It's a serious drama with warm, sometimes funny edges, made with an understated sense of craft.",Short Term 12 (2013)
jesse-hassenger,rotten,2.5/5,runner_runner,"The movie itself feels like the bigger con: a fast-paced thriller that turns out, in retrospect, to have been kind of a drag.",Runner Runner (2013)
jesse-hassenger,rotten,1.5/5,bad_milo,pitches stupidly between sketch and reality,Bad Milo! (2013)
jesse-hassenger,rotten,1.5/5,thanks_for_sharing,like a strained joke from a recovery counselor,Thanks For Sharing (2013)
jesse-hassenger,fresh,3.5/5,enough_said_2013,smart and low-key,Enough Said (2013)
jesse-hassenger,rotten,C+,insidious_chapter_2,"Characters in Whannell/Wan screenplays speak with the first-draft expository bluntness of a cheap '50s thriller, letting the characters step on some of the best reveals.",Insidious: Chapter 2 (2013)
jesse-hassenger,fresh,B,sparrows_dance_2013,"Basically a two-hander, Sparrows Dance could be easily adapted for the stage, but writer-director Noah Buschel uses plenty of cinematic tools to fancy up his simple story.",Sparrows Dance (2013)
jesse-hassenger,fresh,6/10,cosmopolis,"As usual, Cronenberg shows masterful control, starting with Pattinson.",Cosmopolis (2012)
jesse-hassenger,fresh,3.5/5,to_the_wonder,"For better and worse, To the Wonder is embodied by that repeated shot of Marina running ahead: close, vivid, just out of reach.",To The Wonder (2013)
jesse-hassenger,rotten,1.5/5,alvin_and_the_chipmunks_chipwrecked_2011,Quote not available.,Alvin and the Chipmunks: Chipwrecked (2011)
jesse-hassenger,rotten,5/10,robot_and_frank,"Despite some moments of surprising emotional impact, as we realize the depth of Frank's condition, the movie is too often mechanical.",Robot & Frank (2012)
jesse-hassenger,rotten,5/10,the_hobbit_an_unexpected_journey,"Even at their eye-filling best, these sequences generate more spectacle than suspense.",The Hobbit: An Unexpected Journey (2012)
jesse-hassenger,fresh,6/10,cloudy_with_a_chance_of_meatballs_2_2013,"Just as the first film was funnier and more inventive than it needed to be, the second helping makes more of the same surprisingly satisfying.",Cloudy with a Chance of Meatballs 2 (2013)
jesse-hassenger,fresh,3.5/5,the_pirates_band_of_misfits,The lovingly crafted sight gags are plentiful and the lightly Pythonesque dialogue is cleverer than your average live-action comedy.,The Pirates! Band of Misfits (2012)
jesse-hassenger,rotten,3/5,upstream_color,"the movie is, I think, supposed to take on the added dimension of an interdependent, possibly desperate romance",Upstream Color (2013)
jesse-hassenger,fresh,4/5,nebraska,"Alexander Payne has become a master of a very specific, borderline nonexistent subgenre: the road movie that doesn't move.",Nebraska (2013)
jesse-hassenger,fresh,3.5/5,journey_to_the_west_2014,"The movie is a lot of fun, but it ends with puzzlement, rather than the ecstatic high notes of Chow's best work.",Journey To The West (2014)
jesse-hassenger,rotten,1/5,that_awkward_moment,"That Awkward Moment is built on suggestions of real life, rather than depictions of it.",That Awkward Moment (2014)
jesse-hassenger,rotten,C,supermensch_the_legend_of_shep_gordon,The movie is most interesting as a collection of trivia-and trivial if amusing testimonials.,Supermensch: The Legend of Shep Gordon (2014)
jesse-hassenger,rotten,D+,the_angriest_man_in_brooklyn,"As broad as Williams goes in these scenes, it's not really his fault. He's acting out a screenplay, credited to Daniel Taplitz, that's peppered with bad writerly flourishes.",The Angriest Man in Brooklyn (2014)
jesse-hassenger,rotten,C,words_and_pictures,"Owen's performance as a man who values his own faux-sophistication even as he goes to seed overpowers Binoche, leaving the movie lopsided.",Words And Pictures (2014)
jesse-hassenger,rotten,3/5,palo_alto,floats through an eerie netherworld of familiarity somewhere between recognizing real life and remembering other movies that recognized it better,Palo Alto (2014)
jesse-hassenger,rotten,C-,farmland,"Farmland lets the farmers tell their stories, but doesn't see fit to shape them into anything resembling a coherent statement or narrative.",Farmland (2014)
jesse-hassenger,rotten,C+,gambit_2014,"When the movie veers away from the verbal gymnastics of a bunch of colorful dopes out-dumbing one another and into overindulged farce, the specificity of the Coens' writing begins to fade.",Gambit (2012)
jesse-hassenger,rotten,C+,no_good_reason,"[It becomes] less interesting as it stretches to feature length, sometimes resembling a handsomely illustrated CV.",For No Good Reason (2014)
jesse-hassenger,fresh,B+,in_your_eyes_2012,"At its frequent best ... it provides a potent metaphor for a life-changing relationship, cleverly literalizing the way a new romantic connection can feel like a voice in your head that you never want to stop hearing.",In Your Eyes (2014)
jesse-hassenger,fresh,B+,alan_partridge,Director Declan Lowney does an admirable job making a confined film look cinematic without overblowing it into action-comedy mode.,Alan Partridge (2014)
jesse-hassenger,rotten,C+,blood_ties_2013,"Blood Ties comes off as a weird, misshapen version of a '70s-style thriller-almost as if it's lacking contemporary examples to follow.",Blood Ties (2014)
jesse-hassenger,fresh,4/5,veronica_mars,"Veronica Mars may not be a movie in the traditional sense, but as a cult pop-culture event (emphasis on the ""cult""), it's hard to beat.",Veronica Mars (2014)
jesse-hassenger,rotten,1.5/5,dark_tide_2011,Quote not available.,Dark Tide (2012)
jesse-hassenger,rotten,C,stalingrad_2014,"Too often does [Bondarchuk] goad his characters to brim over with righteous bloodlust-and, despite the occasional obligatory misgiving about the barbarism of war, goads the audience to lust right along with them.",Stalingrad (2014)
jesse-hassenger,fresh,3.5/5,adult_world_2013,"Once Roberts intersects with Cusack, his practiced cynicism balances out her manic episodes, and they make a winning team",Adult World (2014)
jesse-hassenger,rotten,2.5/5,endless_love_2014,one of those movies that paradoxically tries to capitalize on a brand name while relying on most of its audience to not recognize it,Endless Love (2014)
jesse-hassenger,rotten,2.5/5,the_secret_life_of_walter_mitty_2013,"a movie about fantasies doesn't have much drama, so Stiller goads Walter into some real-life adventure, an interesting prospect the movie smothers with excessive feeling",The Secret Life Of Walter Mitty (2013)
jesse-hassenger,rotten,2.5/5,salmon_fishing_in_the_yemen,"A sweet, charming couple in search of a movie sturdier than a wisp.",Salmon Fishing in the Yemen (2012)
jesse-hassenger,rotten,3/5,tower_heist,an agreeable time-waster with some funny moments,Tower Heist (2011)
jesse-hassenger,rotten,2.5/5,big_miracle,"pretty much resembles a message-y family-friendly movie about saving some whales, which obviously isn't the worst thing in the world",Big Miracle (2012)
jesse-hassenger,fresh,4/5,rabbit_hole,Kidman and Eckart are terrific,Rabbit Hole (2010)
jesse-hassenger,rotten,4/5,i_love_you_phillip_morris,"sort of like a darker, weirder Catch Me If You Can",I Love You Phillip Morris (2010)
jesse-hassenger,rotten,3/5,love-and-other-drugs,It's a shame that Zwick and Herskovitz make use of the romantic-comedy junkyard,Love and Other Drugs (2010)
jesse-hassenger,rotten,1.5/5,you_again,tries so hard to be relatable that it can only make jokes if five or six other recent movies or sitcoms have tried them out first,You Again (2010)
jesse-hassenger,rotten,3/5,the_virginity_hit_2010,"observant, to be sure, but curiously, not that funny",The Virginity Hit (2010)
jesse-hassenger,rotten,2.5/5,centurion,gory and loud,Centurion (2010)
jesse-hassenger,rotten,2/5,little_fockers,ramshackle and lazy,Little Fockers (2010)
jesse-hassenger,fresh,3.5/5,piranha_3d,delivers truly imaginative levels of gore and mayhem,Piranha 3-D (2010)
jesse-hassenger,fresh,3.5/5,cyrus,a compelling and enjoyable ninety minutes,Cyrus (2010)
jesse-hassenger,rotten,1/5,finding_bliss,"fails to provide insight into the porn industry, filmmaking, or basic human behavior.",Finding Bliss (2009)
jesse-hassenger,fresh,3.5/5,0878835,"Keener, Peet, and Hall are so strong, so empathetic even at their weakes",Please Give (2010)
jesse-hassenger,rotten,2.5/5,10010334-leaves_of_grass,a fitfully enjoyable but unsatisfying playground of ambition and occasional wit,Leaves of Grass (2010)
jesse-hassenger,rotten,3/5,waking_sleeping_beauty,Disney-approved,Waking Sleeping Beauty (2010)
jesse-hassenger,fresh,3/5,exploding_girl,"As a feature, it's slight; as a mood sustained by Kazan and Gray, it's impressive and occasionally spellbinding.",The Exploding Girl (2010)
jesse-hassenger,rotten,2.5/5,get_low,"breaks through potential tedium with such consistency that he strings the movie along, threatening to make the whole thing work",Get Low (2010)
jesse-hassenger,rotten,2.5/5,the_dilemma,"There is a dark but funny, likable but truthful movie that could be made from this material, maybe even with the same cast. But best efforts or not, The Dilemma isn't quite it.",The Dilemma (2011)
jesse-hassenger,fresh,4/5,cold_weather,"Katz has honed the offhand observational techniques of mumblecore, gazing at characters and genre rather than navels; I can't wait to see where he looks next.",Cold Weather (2011)
jesse-hassenger,rotten,1.5/5,peep-world,mildly amusing,Peep World (2011)
jesse-hassenger,rotten,2.5/5,man_on_a_ledge,a bit like Spike Lee's Inside Man remade by tourists,Man on a Ledge (2012)
jesse-hassenger,fresh,3.5/5,tinker_tailor_soldier_spy,"feels like an extended quiz on your ability to put names to faces, codenames to other faces, and nicknames to important intelligence organizations",Tinker Tailor Soldier Spy (2011)
jesse-hassenger,fresh,4/5,shame_2011,"sometimes the ridiculousness of Brandon's obsession has a dark humor to it, especially when he's cornered",Shame (2011)
jesse-hassenger,rotten,C+,trust_me_2013,"As Trust Me gets twistier and more serious, it also veers toward pity for its central character (which reads as self-pity for the filmmaker, fairly or not).",Trust Me (2014)
jesse-hassenger,rotten,3/5,footloose-2010,"a pretty good remake of Footloose: good-hearted, sincere, enjoyable, not too stupid",Footloose (2011)
jesse-hassenger,fresh,3.5/5,5050_2011,sweet but sometimes a little too aggressively normal.,50/50 (2011)
jesse-hassenger,rotten,2.5/5,i_dont_know_how_she_does_it,not spectacularly unfunny or appallingly made; it's just a rote treatment of a familiar subject,I Don't Know How She Does It (2011)
jesse-hassenger,rotten,2.5/5,bellflower,the movie is so in love with itself that it's difficult to say where observation ends and revelry begins,Bellflower (2011)
jesse-hassenger,fresh,3.5/5,attack_the_block,a bit like Goonies and War of the Worlds filtered through the original English version of Skins,Attack the Block (2011)
jesse-hassenger,fresh,4/5,the_future,"Even at its most willfully bizarre, The Future has a sincere ache at its core, filled with anxiety about growing old and living a meaningful life",The Future (2011)
jesse-hassenger,fresh,3.5/5,fast_five,"It took ten years, but here, finally, is a worthwhile sequel to The Fast and the Furious",Fast Five (2011)
jesse-hassenger,fresh,3.5/5,pom_wonderful_presents_the_greatest_movie_ever_sold,"while it's funny to see footage of actual collector cups being manufactured for a documentary, the movie can't, of course, offer much in the way of results",POM Wonderful Presents: The Greatest Movie Ever Sold (2011)
jesse-hassenger,rotten,2/5,henrys_crime_2010,verges on absurdity -- the non-comedic kind,Henry's Crime (2011)
jesse-hassenger,rotten,2.5/5,happythankyoumoreplease,"resembles a sitcom -- but the good kind, or at least one you might not flip past immediately on a Monday night",HappyThankYouMorePlease (2011)
jesse-hassenger,rotten,3/5,super-2010,"Gunn may not have his finger on the pulse of popular tastes, but he's certainly adept at reading the nerd-scented tea leaves.",Super (2011)
jesse-hassenger,rotten,3/5,safe_house_2012,genre pulp,Safe House (2012)
