critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
kaya-payseno,fresh,,steve_jobs_2015,The ending dramatics offer Jobs a little redemption from the otherwise unflattering portrait so we leave the theater with a balanced vision of this larger than life character.,Steve Jobs (2015)
kaya-payseno,rotten,,experimenter,You'll find yourself wondering if PBS has a documentary you could watch instead (at least then you'll feel smarter).,Experimenter (2015)
kaya-payseno,fresh,,the_keeping_room,This movie stays with you and I would highly recommend it. Leave your genre expectations at the door and just enjoy the beauty the environment and seeing some badass women beat up dudes for a change.,The Keeping Room (2015)
kayla-cobb,fresh,,kingdom_of_us,"It offers a quiet, intimate look into one family's pain that can never quite be captured by statistics or brief human interest stories.",Kingdom of Us (2017)
kayla-cobb,fresh,,32_pills_my_sisters_suicide,"There are no clear answers, emotions, or stories in this documentary. Everything is muddled and difficult in a way that seems to mirror its creator's pain.",32 Pills: My Sister's Suicide (2017)
kayla-cobb,fresh,,icarus_2017,"Though Icarus doesn't spend much time discussing the ethics of doping, it's one of the most complete accounts of how this scandal came to light. It's also a fascinating one.",Icarus (2017)
kayla-cobb,fresh,,heroin,"Heroin(e) is not a life-changing documentary. However, it does an excellent job of highlighting the everyday heroes willing to devote their lives to fighting this epidemic, while analyzing what the cost of that devotion may be.",Heroin(e) (2017)
kayla-cobb,fresh,,meth_storm_arkansas_usa,"You may walk away feeling worse about the world, but Meth Storm is a deeply important watch about an issue that is ignored far too often.",Meth Storm: Arkansas USA (2017)
kayla-cobb,fresh,,unacknowledged,.. it's a fun-to-watch documentary filled with conspiracy theories.,Unacknowledged (2017)
kayla-cobb,fresh,,mommy_dead_and_dearest,"The crime at the center of Mommy Dead and Dearest may be scandalous and intriguing, but the documentary's take on its subject always remains human.",Mommy Dead and Dearest (2017)
kayla-cobb,fresh,,long_shot,"Long Shot is a short watch with an interesting celebrity story, but more than that it's a unflinching look at our justice system's flaws through one unbelievable example.",Long Shot (2017)
kayla-cobb,fresh,,the_mars_generation_2017,The Mars Generation doesn't seem to be a documentary for established space lovers but for people who are marginally interested in science.,The Mars Generation (2017)
kayla-cobb,fresh,,voyeur_2017,"If documentaries are supposed to highlight shadowed parts of society, Voyeur shines a light on a decidedly disturbing and dark story.",Voyeur (2017)
kayla-cobb,fresh,,escorts_2015,"... Escorts is an often sad, often shocking, but its non-judgmental and intimate tone make it an interesting watch.",Escorts (2015)
kayla-cobb,fresh,,dumb_the_story_of_big_brother_magazine,"Dumb is truly a best (and worst) hits list for a magazine that took pride in pushing the envelope, but it's also a surprisingly watchable tale of talented, dumb people doing impressively dumb things.",Dumb: The Story of Big Brother Magazine (2017)
kayla-cobb,fresh,,obey_giant,... Obey Giant offers an insightful look into this often exclusionary world.,Obey Giant (2017)
kayla-cobb,fresh,,floyd_norman_an_animated_life,... it's really worth the watch.,Floyd Norman: An Animated Life (2016)
kayla-cobb,fresh,,blame_2017_2,"It's concise with strong characters, it's visually stunning, and the world is large and open enough to encourage viewers to imagine what else could be hiding the movie's many border.",Blame! (2017)
kayla-cobb,fresh,,15_a_quinceanera_story,"At its core, this is a documentary series about five girls on the path to adulthood. There are few stories more charming or relatable than that.",15: A Quinceanera Story (2017)
kayla-cobb,fresh,,mosaic_2017,...one of the most narratively innovative television experiences to ever exist.,Mosaic (2017)
kayla-cobb,fresh,,chasing_coral,"Chasing Coral makes you feel vaguely sick, especially when it explains how the destruction of coral could lead to the elimination of undersea ecosystems and human starvation.",Chasing Coral (2017)
kayla-cobb,fresh,,unrest_2017,"Unrest is a documentary all about making audiences understand an illness defined by internal pain, and on that front it's an unquestionably successful if not sad film.",Unrest (2017)
kayla-cobb,fresh,,fullmetal_alchemist_2017,"If you're a fan of the franchise, it's worth checking out. It's a watch that pales in comparison to the original, but Fullmetal Alchemist makes for such a good story, even a bad version of it has weight.",Fullmetal Alchemist (Hagane no renkinjutsushi) (2017)
kayla-marie,fresh,4.5/5,coco_2017,"It's an emotional ride with lots of color and fun along the way. Coco is definitely a must-see this holiday season, just be sure to remember the Pixar 3 and bring tissues.",Coco (2017)
kayla-s-samoy,fresh,3.5/5,how_to_be_single_2016,"A hilarious, heartfelt and relatable rom-com, ""How to Be Single"" explores the struggles of dating, finding your identity and going after what you want.",How To Be Single (2016)
kayla-s-samoy,fresh,3/5,ride_along_2,"At best, ""Ride Along 2"" is what you've seen in every other comedic cop movie. Nothing outstanding, but mindless fun.",Ride Along 2 (2016)
kayla-s-samoy,fresh,3/5,alvin_and_the_chipmunks_the_road_chip,"It's cheesy, but what else could be expected from a film with talking animated chipmunks?",Alvin and the Chipmunks: The Road Chip (2015)
kayla-s-samoy,fresh,3.5/5,43_2015,Perhaps the true point of the film is to spur discussion and not let the story fade as just another unsolved crime against the poor.,43 (2015)
kayla-webley,fresh,,brooklyn_castle_2012,"Beyond telling the touching stories of these unlikely champions, Brooklyn Castle serves to raise a battle cry for funding for after-school programs.",Brooklyn Castle (2012)
kayleigh-hughes,rotten,2/5,the_neon_demon,"With this latest effort, Refn paints a lurid, confused portrait of girlhood and the fashion industry that is flashy, loud, and gory but unfortunately fails at all turns to touch on anything close to truth.",The Neon Demon (2016)
kayt-bochenski-and-nelly-twort,fresh,3/5,what_to_expect_when_youre_expecting,It's exactly what we expected it to be. If you're going to have a baby it'd be a good thing to watch. It shows all the things people say to you.,What to Expect When You're Expecting (2012)
kayti-burt,rotten,2.5/5,rough_night,The female viewer can smell a poorly-articulated emotional beat from a mile away. Enter Rough Night...,Rough Night (2017)
kayti-burt,rotten,2/5,wish_upon,The most interesting part of watching this movie is trying to decide if the main character deserves to live or die.,Wish Upon (2017)
kayti-burt,fresh,4/5,mother_2017,"It doesn't matter whether this is real or surreal; it's horrifying, regardless.",mother! (2017)
kayti-burt,rotten,2/5,the_lego_ninjago_movie,"There is something unsettling about a predominantly white creative team making a movie starring mostly white voice-actors about a popular art form that hails from another, non-white part of the world.",The Lego Ninjago Movie (2017)
kayti-burt,fresh,4/5,a_wrinkle_in_time_2018,Today's kids could use more movies like A Wrinkle in Time. So could today's adults.,A Wrinkle in Time (2018)
kayti-burt,fresh,4.5/5,paddington_2,"Paddington 2 is a feel-good masterpiece, a cinematic salve for the prejudice of our times.",Paddington 2 (2018)
kayti-burt,rotten,2.5/5,maze_runner_the_death_cure,"If The Death Cure had been released when it was originally slated, it would have felt dated, contrived, and derivative. It still does, but a year later it's far enough behind the trend that you feel sorry for it.",Maze Runner: The Death Cure (2018)
kayti-burt,fresh,2.5/5,batman_gotham_by_gaslight,"It's a rich concept, one that doesn't completely deliver due to regressive representation and predictable plot beats. But fans of the Elseworlds source material, steampunk, or Batman will find enough to like here.",Batman: Gotham by Gaslight (2018)
kayti-burt,rotten,2/5,pitch_perfect_3,"[If you must], come for the jokes, the song and dance numbers, and the female camaraderie. Stay for... well, for those things",Pitch Perfect 3 (2017)
keeva-stratton,fresh,4/5,beauty_and_the_beast_2017,"Sure, there's part of me that wanted Belle to run off with all the books and leave her heart-broken beastly kidnapper to wallow for an eternity, but even I got caught up in the Disney magic of it all and accepted its inevitable happy ending.",Beauty and the Beast (2017)
keeva-stratton,fresh,3/5,toni_erdmann,"Quirky and offbeat, like its central character, if you like your films a little idiosyncratic, give this one a go.",Toni Erdmann (2016)
keeva-stratton,fresh,5/5,t2_trainspotting,"The music, the energy, the reality and the poignancy make this cult classic as relevant today as it was when it captured the disaffected Scottish youth over 20 years ago.",T2 Trainspotting (2017)
