critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
jim-schembri,fresh,3/5,the_mercy,The heart-breaking true story of British amateur sailor Donald Crowhurst is told here in painstaking detail by director James Marsh who has succeeded in bringing us the saddest film we've seen in yonks. Nobody does noble failure like the Brits.,The Mercy (2017)
jim-schembri,fresh,3/5,samsara_2012,"Mesmerising, impressionistic movie in which time-lapse photography...is intended to ignite thoughts about the meaning of life, society, technology, God, ecology and robots.",Samsara (2012)
jim-schembri,fresh,3.5/5,sightseers,"Deftly directed by Ben Wheatley (whose fright-fest Kill List is a must on DVD)...the film is careful not to make light of violence, using comedy to sharpen its sinister edge",Sightseers (2013)
jim-schembri,fresh,3/5,quartet_2012,"With an obvious love for British gardens and heritage-protected interiors, first-time director Dustin Hoffman...delivers a congenial, easy-to-like comedy-drama.",Quartet (2013)
jim-schembri,fresh,2.5/5,parental_guidance_2012,"Billy Crystal and Bette Midler team up as goofball grandparents in a cheesy, by-the-numbers slice of computer-written family comedy designed primarily as multiplex fodder for the holidays.",Parental Guidance (2012)
jim-schembri,fresh,3/5,les_miserables_2012,"The real diamond here is Russell Crowe. As the committed lawman Javert, he proves what a versatile and magnetic actor he is.",Les Misérables (2012)
jim-schembri,fresh,3.5/5,wreck_it_ralph,"This A-grade animated Disney charmer hits the nail on the head...director Rich Moore has enormous faith in the ability of young audiences to absorb multiple story strands at once, a belief aided no end by the exquisite quality of the animation.",Wreck-it Ralph (2012)
jim-schembri,rotten,2/5,the_hobbit_an_unexpected_journey,There is simply not enough story to justify the inordinate length...the enormous production effort is negated by [the] disastrous decision to shoot at 48 frames per second...This makes the entire enterprise look like the world's most expensive home video.,The Hobbit: An Unexpected Journey (2012)
jim-schembri,fresh,4.5/5,life-of-pi,"Ang Lee's extraordinary, lyrical, beautiful, moving, genre-defying Life of Pi can be recommended with the simple, sweeping assurance that it is unlike anything you have ever seen before.",Life of Pi (2012)
jim-schembri,fresh,4.5/5,rise_of_the_guardians_2012,"In one of the best, brightest, most beautifully realised and visually sumptuous tentpole animation films of the year...an absolute joy to behold, as lovingly made a piece of corporate entertainment as you're likely to find at the multiplex.",Rise of the Guardians (2012)
jim-schembri,fresh,3/5,jack_reacher,"This is solid, enjoyable, formula-driven stuff designed to self-replicate into a film series, nothing more - and there's nothing wrong with that.",Jack Reacher (2012)
jim-schembri,fresh,3/5,gangster_squad_2012,"Everything you'd want from a good gangster movie is delivered here...Think The Untouchables, only without the artistic pretense.",Gangster Squad (2013)
jim-schembri,fresh,3.5/5,hitchcock,"The unalloyed joy of seeing one of the greatest actors of all time hamming it up as one of the greatest directors of all time is but one of the delights offered by this cheeky, deeply affectionate pic.",Hitchcock (2012)
jim-schembri,fresh,3/5,you_will_meet_a_tall_dark_stranger,"It's one of Allen's lesser films yet, as is so often the case with his B-material, it still features terrific performances...and a cluster of truth-nailing scenes that are better than what you typically find in major releases.",You Will Meet a Tall Dark Stranger (2010)
jim-schembri,rotten,1.5/5,this_is_40,"More aptly known as ""This is 40 Minutes Too Long"", Judd Apatow's comic attempt at a bitter-sweet comic dissertation about middle-age falls flat.",This is 40 (2012)
jim-schembri,fresh,4/5,compliance_2012,This little independent American film might be the scariest thing you see this year...a shattering film about human psychology of which the young Martin Scorsese would have been proud.,Compliance (2012)
jim-schembri,fresh,2.5/5,west_of_memphis,It's reasonable to question whether the time and resources poured into this project might have been better spent highlighting a miscarriage of American justice that nobody knows about rather than one that enjoys a celebrity profile.,West of Memphis (2012)
jim-schembri,rotten,2.5/5,anna_karenina_2012,"Leo Tolstoy's classic tale of doomed romance and the emotionally stifling lives of Russian aristocrats gets an ornate, inert reworking...the congested setting makes much of the film look like a blur of costumes and set dressing.",Anna Karenina (2012)
jim-schembri,fresh,3.5/5,safe_haven,"From author/producer Nicholas Sparks, the cornball master who gave this generation its Love Story with The Notebook, comes another full-bodied, four-course serving of perfectly prepared romantic mush.",Safe Haven (2013)
jim-schembri,fresh,3.5/5,paranorman,"ParaNorman demonstrates - as did films such as Coraline, The Corpse Bride, Wallace & Gromit and The Nightmare Before Christmas - that stop-motion animation has a texture and warmth that can't (yet!) be replicated by computer.",ParaNorman (2012)
jim-schembri,fresh,3/5,paris_manhattan,First-time director Sophie Lellouche keeps this puff pastry-thin piece of romantic fluff as light and inconsequential as it needs to be.,Paris Manhattan (2013)
jim-schembri,fresh,3/5,love_is_all_you_need,"Finely balanced and occasionally touching, this is the most joyous film by Danish director Susanne Bier, and a welcome, perhaps overdue, shift of gear.",Love Is All You Need (2013)
jim-schembri,fresh,3/5,trouble_with_the_curve,"Director Robert Lorenz does a proficient, if unremarkable job corralling all the cliches into a pleasing, predictable package...And let's face it: nobody serves out a big, well-deserved dose of comeuppance like Clint. Even without a gun.",Trouble with the Curve (2012)
jim-schembri,fresh,4.5/5,the_sessions,Australian veteran writer/director Ben Lewin (The Dunera Boys) delivers a heartfelt gem that is as moving as it is unassuming. It easily chimes in as one of the films of the year.,The Sessions (2012)
jim-schembri,rotten,1.5/5,deano_and_niges_best_last_day_ever,Limp comedy.,Deano And Nige's Best Last Day Ever (2011)
jim-schembri,rotten,1/5,dead_europe,"Mordant, depressing dirge of a film.",Dead Europe (2012)
jim-schembri,fresh,3/5,god_bless_america_2011,"Enjoyable, over-the-top, and nowhere near as black as the premise sounds, God Bless America is essentially an extended comic op-ed piece.",God Bless America (2012)
jim-schembri,fresh,3/5,robot_and_frank,"First-time director Jake Schreier never forces the gentle emotional undertow that explores aging and dementia, the result being a charming, touching ode to elderly people and the humanist potential of technology.",Robot & Frank (2012)
jim-schembri,fresh,3.5/5,the_twilight_saga_breaking_dawn_part_2,"The big payoff to the Twilight saga is a solidly mounted, carefully directed exercise in franchise box-ticking... Even the decapitations are done tastefully.",The Twilight Saga: Breaking Dawn Part 2 (2012)
jim-schembri,fresh,2/5,diana_vreeland_the_eye_has_to_travel_2012,An otherwise fine profile of American fashion magazine doyen Diana Vreeland is let down by pedestrian production.,Diana Vreeland: The Eye Has To Travel (2012)
jim-schembri,fresh,3/5,2_days_in_new_york,"Rock tries playing it straight, but can't help himself; Delpy is lovably daffy; the film has a breezy, honest air.",2 Days in New York (2012)
jim-schembri,fresh,4.5/5,skyfall,"Worlds collide in this near-brilliant, meticulously refined 21st-century redefinition of James Bond.",Skyfall (2012)
jim-schembri,fresh,2.5/5,entre_les_bras,"More food porn...Though the celebrity status accorded chefs has gone way out of control, this is actually not a bad little documentary.",Step Up To The Plate (2012)
jim-schembri,rotten,2/5,red_dawn_2012,"Unfortunately unexciting remake of the 1984 junk-culture cult classic about a bunch of American teens who fight back after America is invaded by Communists. Yes, Communists... This could have been fun.",Red Dawn (2012)
jim-schembri,rotten,2/5,fun_size,"Here's yet another example of a DVD film inexplicably receiving a full-on cinema release...It doesn't help that Victoria Justice, pretty as she is, does not exactly ignite the screen with comic charisma.",Fun Size (2012)
jim-schembri,fresh,3/5,sound_of_my_voice,"A cracker of a film about the seductive power of cults... the film rides largely on the haunting, compelling presence of Marling.",Sound of My Voice (2012)
jim-schembri,fresh,3/5,the_angels_share,"This is as close to a feel-good film as [director] Ken Loach gets, yet he never loses sight or touch with the reality he is so brilliant at capturing on camera.",The Angels' Share (2013)
jim-schembri,fresh,3/5,the_perks_of_being_a_wallflower,"While most films about teenage life tend to trade on a nifty hook, and sometimes even a plot, The Perks of Being a Wallflower chimes in as an unusually incisive, character-driven ramble through the inevitable awkwardness of teen life.",The Perks of Being a Wallflower (2012)
jim-schembri,fresh,3/5,celeste_and_jesse_forever,"The film bears a kinship with the underrated 2006 film The Break-Up; both are, for lack of a better term, post-romantic comedies by exploring the largely virgin territory of what happens long after the meet-cute, when life takes hold and love goes sour.",Celeste and Jesse Forever (2012)
jim-schembri,fresh,3/5,the_man_with_the_iron_fists,"The fists, feet and digital blood go flying in this enjoyable, frenetic, largely forgettable chop-socky extravaganza about, well, about a man with iron fists who gets into lots of fights.",The Man With the Iron Fists (2012)
jim-schembri,fresh,3/5,here_comes_the_boom,The highly likeable Kevin James headlines a highly likeable school/sports comedy lark in which he again plays a lovable oaf.,Here Comes the Boom (2012)
jim-schembri,fresh,3/5,pitch_perfect,"There's girl-bonding aplenty in this upbeat comedy about a high-school a capella competition in which voice-only singing, envy and vomiting play key roles...it's Glee with extra sass.",Pitch Perfect (2012)
jim-schembri,fresh,3/5,the_sweeney,Solid cops-and-robbers pulp designed for people who like seeing cops getting dirty and robbers getting theirs.,The Sweeney (2013)
jim-schembri,fresh,3.5/5,the_master_2011,There are gaping chasms in the story and side stories that go nowhere. Yet the power of [Philip Seymour] Hoffman's performance is so hypnotic you forgive the film's faults just to revel in his all-consuming portrayal of a man possessed by his own beliefs.,The Master (2012)
jim-schembri,rotten,2/5,lincoln_2011,"Oddly, Spielberg chooses to set his gabby epic largely indoors...This gives Lincoln a rather inert feel...It's infuriating that spectacular battle scenes are described in the film, but not shown.",Lincoln (2012)
jim-schembri,rotten,1/5,elles_2011,Polish director Małgorzata Szumowska deserves some sort of award for making such a potentially spell-binding topic so flat.,Elles (2012)
jim-schembri,fresh,3/5,cirque_du_soleil_worlds_away,"Designed as pure confection for the eyes, this largely wordless fare is perfect for kids (how many G-rated films are there around?) and for any stressed-out office worker eager for something to unwind to.",Cirque Du Soleil: Worlds Away (2012)
jim-schembri,fresh,3/5,roman_polanski_a_film_memoir_2012,"Polanski sure knows how to spin a yarn, whether it's with words or film.",Roman Polanski: A Film Memoir (2013)
jim-schembri,fresh,2.5/5,21_and_over,"It's crude, gross, tasteless and made with an almost alarming degree of drive and conviction...the film is undeniably lewd, but can't be faulted for being boring or politically correct...And you have to somehow admire that.",21 And Over (2013)
jim-schembri,fresh,3/5,goddess_2012,"This bright, locally made, rice cracker-thin musical comedy is a pleasant, diverting way to kill two hours..Some thoughtful scenes about the dilemma women too-often face between personal and professional success help ground the film's breezy, joyful tone.",Goddess (2013)
jim-schembri,fresh,3/5,flight_of_the_butterflies,At the preview...the 3D effect had scores of kids reaching out to touch the butterflies. It was as gorgeous a sight to behold as anything on the giant Imax screen.,Flight of the Butterflies (2012)
jim-schembri,fresh,3/5,the_loneliest_planet,"Writer/director Julia Loktev, a New York filmmaker born in Russia, skilfully uses stillness and the vastness of the Caucasus Mountains to frame her trio of characters in psychological quicksand.",The Loneliest Planet (2012)
jim-schembri,fresh,3/5,jack_the_giant_slayer,"Thanks to the marvel of digital visual effects and the clear influence of Peter Jackson's Lord of the Rings, [director Bryan] Singer does a terrific job showing us just how realistic a battle set in a fantasy world can look.",Jack the Giant Slayer (2013)
jim-schembri,fresh,3/5,a_good_day_to_die_hard,"Undeniably entertaining action-movie franchise fodder [but] had the producers [made] Mary Elizabeth Winstead the film's other action hero rather than going with the convention of casting yet another male, Die Hard 5 would have been awesome.",A Good Day To Die Hard (2013)
jim-schembri,fresh,2.5/5,amour_2013,"While [director Michael] Haneke's love of long takes invite you to stare into the corrugated faces of Georges and Anne as their worlds change, there is a leaden quality to many stretches of the film that assume a profundity that simply isn't there.",Amour (2012)
jim-schembri,fresh,3/5,zambezia,"The splendid Madagascar films might have spolied us somewhat when it comes to African cartoon animals, but there is enough action and heart in the story to keep things aloft, especially during the big battle climax.",Zambezia (2013)
jim-schembri,fresh,3.5/5,escape_from_planet_earth_2013,"A ripper sci-fi comedy adventure guaranteed to galvanize the attention of the red-cordial crowd...delightful, pastel-coloured, busy piece of bubble-gum kids' cinema has fun playing up all the alien conspiracy theories.",Escape From Planet Earth (2013)
jim-schembri,fresh,3/5,de_rouille_et_dos_2012,"The notion of strings-free sex gets a good working over from director Jacques Audiard (A Prophet), who takes as much pride in exploring the workings of Stephanie's troubled mind as he does in digitally removing her legs.",De rouille et d'os (Rust and Bone) (2012)
jim-schembri,rotten,1/5,the_host_2013,"This limply directed, solidly boring slice of sci-fi twaddle features humanoid aliens who spend much of their screen time staring blankly into the middle distance with glazed eyes. About 10 minutes into this dross, you'll know what that feels like.",The Host (2013)
jim-schembri,fresh,3.5/5,the-croods,"As well as being pacy, energetically animated and stuffed full of modern-day references, The Croods also casts off any lingering doubt that DreamWorks is moving into the character-driven domain normally dominated by Pixar.",The Croods (2013)
jim-schembri,fresh,3.5/5,gi_joe_retaliation,"Dizzyingly entertaining celebration of fireballs, wire-assisted martial arts and high-calibre firepower has more grace and poise than Die Hard 5...will surely make up for those disappointed with the so-so 2009 film.",G.I. Joe: Retaliation (2013)
jim-schembri,fresh,3/5,return_to_nims_island,"This message-driven film is perfectly fine for kids around 10, though it is a little light on humour. Adults accompanying said kids, though, are strongly advised not to think too hard as the predictable tale unfolds.",Return To Nim's Island (2013)
jim-schembri,fresh,3/5,sleepwalk_with_me_2012,"Though the sleep-walking episodes are funny, it's the way Mike Birbiglia captures the pains of performing comedy to tiny rooms that really fly.",Sleepwalk With Me (2012)
jim-schembri,rotten,2.5/5,identity_thief,"Formulaic multiplex mulch, way over-long, often feels strained...That said, Identity Thief is the latest example of the disconnect that often exists between critical opinion and popular appeal. Slammed by critics the low-budget film has been a huge hit.",Identity Thief (2013)
