critic_id,critic_meter_score,critic_rating,movie_id,movie_review_blurb,movie_title
torene-svitil,rotten,2/5,mannequin_two_on_the_move,"Despite the presence of four credited screenwriters, the plot is a rehash of cliches and tired jokes.",Mannequin 2: On the Move (1991)
torene-svitil,rotten,2/5,1039460-all_i_want_for_christmas,"Clearly meant to be adorable, the kids crack jokes like screenwriters rather than children, and the plot is just as contrived as the self-conscious dialogue.",All I Want for Christmas (1991)
torene-svitil,rotten,,1037756-jfk,If conspiracy theories are your cup of tea -- or if you just like a good yarn -- JFK may satisfy.,JFK (1991)
toure,rotten,,all_eyez_on_me_2017,"While Shipp looks the part, that's about all that this neutered movie has going for it.",All Eyez on Me (2017)
toure,fresh,,detroit_2017,Even a film like Detroit-centered on a moment from hell and the real story of the harrowing death of several young Black people-can make you feel more powerful because the film privileges the Black perspective and is unflinching about our reality.,Detroit (2017)
toure,fresh,,patti_cakes,The movie would fall apart if her lyrics weren't dope-why would we care what she's fighting for?-but the fact is: Killa P can really rhyme.,Patti Cake$ (2017)
toussaint-egan,fresh,9.6/10,your_name_2017,"Shinkai's films speak directly to the times in which they were created, and with this latest work, he has more than earned the right to step from out of the shadow of comparisons to Miyazaki and forge his own name.",Your Name. (Kimi No Na Wa.) (2017)
toussaint-egan,fresh,7.6/10,one_piece_film_gold_2017,One Piece Film: Gold is a pretty solid entry point for those looking to enjoy the series without having to devote hours to wading through reams of filler episodes and expository fluff.,One Piece Film: Gold (2017)
toussaint-egan,fresh,8.5/10,genocidal_organ,Genocidal Organ's alternate reality cuts the closest to our own: a world in which the shadow of the past and its assorted traumas holds the future hostage.,Genocidal Organ (Gyakusatsu kikan) (2017)
toussaint-egan,rotten,4.6/10,ghost_in_the_shell_2017,"The movie feels much like one of its many ""solograms""-an expensive, artificial spectacle of vibrancy and depth, revealed to be little more than a trick of the light.",Ghost in the Shell (2017)
tovin-lapan,fresh,3/4,secret_in_their_eyes,"Just as the title implies, there are several secrets guarded by different characters, and the movie is about more than just tracking down the killer.",The Secret in Their Eyes (El Secreto de Sus Ojos) (2010)
toyin-owoseje,fresh,,girls_trip,"For all its X-rated gags, Girls Trip never strays far from its main messages: The importance of female solidarity and living your truth.",Girls Trip (2017)
tracie-cooper,rotten,2/4,hansel_and_gretel_witch_hunters,"This movie probably isn't going to win anybody any awards. Still, it seems a logical conclusion that most people willing to part with their hard-earned cash would be expecting something great from a film called Hansel & Gretel: Witch Hunters.",Hansel and Gretel: Witch Hunters (2013)
tracie-cooper,fresh,3/4,twilight,"In terms of bringing the book to life, Twilight is a complete success, so much so that most of the film's flaws work within the context of the story.",Twilight (2008)
tracie-cooper,fresh,4/4,coraline,"Coraline is equal parts fanciful, menacing, beautiful, and subversive.",Coraline (2009)
tracie-cooper,fresh,3/4,harry_potter_and_the_half_blood_prince,"War, hormones, and dark magic equal a better-than-average year for the students of Hogwarts, and the best Potter movie since Prisoner of Azkaban.",Harry Potter and the Half-Blood Prince (2009)
tracie-cooper,fresh,4/4,the_muppets,"The film's success is owed to the fact that the living, breathing actors understand the show belongs to the Muppets. In their capable paws, claws, and flippers, the fun, kindness, and total, unadulterated wackiness of The Muppet Show is finally back.",The Muppets (2011)
tracie-cooper,fresh,3.5/4,harry_potter_and_the_deathly_hallows_part_2_2011,"For the most part, the final movie delivers the combination of emotional intensity and rousing battle sequences befitting the end of a phenomenon that evolved from an unexpectedly popular children's book series to an era unto itself.",Harry Potter and the Deathly Hallows - Part 2 (2011)
tracie-cooper,fresh,3.5/4,the_hunger_games,"The supporting cast is excellent (most notably Stanley Tucci as flamboyant television host Caesar Flickerman, and Woody Harrelson as Haymitch Abernathy, Katniss and Peeta's troubled mentor).",The Hunger Games (2012)
tracie-cooper,rotten,2/4,the_smurfs_2,"It's not a masterpiece, but it isn't supposed to be. It is, however, a perfectly pleasant film for young children.",The Smurfs 2 (2013)
tracie-cooper,fresh,2.5/4,the_twilight_saga_breaking_dawn_part_2,"Condon, the cast, and the crew of The Twilight Saga: Breaking Dawn - Part 2 have made something they can be proud of.",The Twilight Saga: Breaking Dawn Part 2 (2012)
tracie-cooper,fresh,3.5/4,cloudy_with_a_chance_of_meatballs_2_2013,"Thankfully, what the film lacks in suspense it delivers in plain old fun. Whether it's a favorite dish, a ragged stuffed animal, or an animated movie, sometimes the comfort that comes along with fun is sustenance enough.",Cloudy with a Chance of Meatballs 2 (2013)
tracie-cooper,rotten,2.5/4,the_mortal_instruments_city_of_bones,"The Mortal Instruments: City of Bones is a beautifully shot movie featuring talented actors and a story with a lot of potential. At the end of the day, however, it just doesn't have much soul.",The Mortal Instruments: City of Bones (2013)
tracie-cooper,rotten,2/4,the_giver,"While entertaining, it's a shame that The Giver, after so many years in production and with a story about the importance of individuality, would fall in line with the conventions of young-adult drama rather than allow its soul to speak for itself.",The Giver (2014)
tracie-cooper,fresh,2.5/4,muppets_most_wanted,"Slapstick is king in Muppets Most Wanted, and each gag is a welcome reminder that this franchise is at its best when the men are foils for the Muppets, rather than the other way around.",Muppets Most Wanted (2014)
tracie-cooper,fresh,3.5/4,warm_bodies,"This is such a well-written, well-acted, and well-paced film with a great payoff at the end that it proves that ""adorable"" and ""zombie movie"" are capable of coexisting together.",Warm Bodies (2013)
tracie-cooper,fresh,4/4,the_hunger_games_mockingjay_part_1,This is arguably the best installment in the franchise because the love triangle is put on the back burner in favor of deeper themes.,The Hunger Games: Mockingjay - Part 1 (2014)
tracie-cooper,fresh,4/4,harry_potter_and_the_deathly_hallows_part_1,"As J.K. Rowling wove a conclusion as ominous as it was elegant in the final installment of the Potter series, so too has director David Yates in Part 1 of Deathly Hallows.",Harry Potter and the Deathly Hallows - Part 1 (2010)
tracie-cooper,fresh,2.5/4,enders-game,"Despite its drawbacks, Ender's Game is a visually spectacular, tightly paced film that is certainly a win in terms of adapting a seriously complicated novel.",Ender's Game (2013)
tracie-cooper,fresh,4/4,the_hunger_games_catching_fire,Catching Fire is tightly paced with very little filler. No line or character is wasted.,The Hunger Games: Catching Fire (2013)
tracy-allerton,fresh,2.5/4,island,"The Island is a curious hybrid of intriguing sci-fi premise and over-the-top action sequences. Nevertheless, it manages to provide adrenaline-charged entertainment for two hours.",The Island (2005)
tracy-allerton,rotten,2/4,miss_congeniality_2,Harmless sequel.,Miss Congeniality 2 - Armed and Fabulous (2005)
tracy-allerton,rotten,2/4,bad_news_bears,"Bad News Bears isn't bad, really, but it isn't good, either.",Bad News Bears (2005)
tracy-allerton,fresh,3/4,1146572-honeymooners,This is a honeymoon trip worth taking.,The Honeymooners (2005)
tracy-allerton,fresh,3/4,sisterhood_of_the_traveling_pants,"This is a film that pre-teen and young teen girls -- and for that matter, any woman who remembers being 16 -- will love. Others are likely to be teeth-gritting their way through it.",The Sisterhood of the Traveling Pants (2005)
tracy-allerton,fresh,2.5/4,danny_the_dog,"The martial-arts mastery we expect is all there, in spectacular fashion, yet the story also allows Li to show off boyish vulnerability, and it's a winning combination.",Unleashed (2005)
tracy-allerton,rotten,2/4,xxx_state_of_the_union,"If this sequel is any indication, the next XXX will be subtitled 'Bigger, Louder, Dumber.'",xXx: State of the Union (2005)
tracy-allerton,fresh,3.5/4,hitch,"Be prepared to be charmed, fall in love (several times) and laugh yourself silly. It's the perfect date movie, just in time for Valentine's Day.",Hitch (2005)
tracy-allerton,rotten,1.5/4,christmas_with_the_kranks,"Should you spend Christmas With the Kranks? Well, perhaps if you're an adolescent boy, or you have nothing better to do, then go for it. Otherwise, make other holiday plans.",Christmas With the Kranks (2004)
tracy-allerton,rotten,2/4,assault_on_precinct_13,It's an assault on the senses with plot holes an armored tank could drive through.,Assault on Precinct 13 (2005)
tracy-allerton,fresh,3/4,coach_carter,"Samuel L. Jackson, who has pretty much been swaggering through recent roles, straightens up and brings a steely, dignified strength to the title role.",Coach Carter (2005)
tracy-allerton,fresh,3/4,oceans_twelve,A gorgeous treat.,Ocean's Twelve (2004)
tracy-allerton,fresh,3/4,national_treasure,"From the very first action scene in the frozen Arctic, to a chase up the Liberty Bell tower, to the climax in a tunnel deep below New York City, National Treasure takes you on an exhilarating ride.",National Treasure (2004)
tracy-allerton,rotten,0.5/4,around_the_bend,"Bend does provide some mild chuckles and gorgeous scenes of rock formations, ruins and blazing sunsets, but it isn't very engaging beyond that.",Around the Bend (2004)
tracy-allerton,fresh,2.5/4,shall_we_dance,"As a whole, Shall We Dance? is enjoyable.",Shall We Dance (2004)
tracy-allerton,fresh,3/4,wimbledon,Bettany proves that he has the chops to carry a film.,Wimbledon (2004)
tracy-allerton,rotten,2/4,1146673-1146673-stealth,"Hey, its not like we came to this movie for its plot or anything.",Stealth (2005)
tracy-allerton,fresh,3/4,swimming_upstream,An inspiring story of triumph over adversity.,Swimming Upstream (2004)
tracy-allerton,fresh,3/4,10005178-saint_ralph,"Both refreshingly realistic and charmingly implausible at the same time. A real miracle, indeed.",Saint Ralph (2005)
tracy-allerton,fresh,2.5/4,after_the_sunset,"Like many a real sunset, it'll dazzle and entertain, yet soon be forgotten.",After the Sunset (2004)
tracy-allerton,fresh,3/4,unfinished_life,A well-crafted film.,An Unfinished Life (2005)
tracy-allerton,rotten,2/4,the_guardian_2006,The Guardian is further proof that there really is nothing original left in Big Studio (BS) Hollywood.,The Guardian (2006)
tracy-allerton,rotten,2/4,haven,"Though it's needlessly opaque and doesn't completely hold together, Haven seldom fails to fascinate.",Haven (2006)
tracy-allerton,fresh,2.5/4,flyboys,"While nothing ground-breaking, Flyboys is two-plus hours of passable entertainment.",Flyboys (2006)
tracy-allerton,rotten,1.5/4,transporter_2,"One scene, involving Frank's on-the-move solution for disarming a bomb under his car, is particularly impressive. However, that's just about all the film has going for it.",Transporter 2 (2005)
tracy-allerton,fresh,3/4,invincible,This film gets more right than wrong in the playbook.,Invincible (2006)
tracy-allerton,fresh,3/4,gitmo,"Though not flashy or 'big,' GITMO is a stark, blunt, powerful indictment.",Gitmo (2007)
tracy-allerton,fresh,2.5/4,wah_wah,Grant's personal experiences and his sense of British quirkiness lend the story a great deal of authenticity.,Wah-Wah (2006)
tracy-allerton,fresh,3.5/4,tsotsi,"Brilliantly acted, especially by star Presley Chweneyagae, who makes Tsotsi's journey toward redemption a truly mesmerizing -- and, at times, nerve-racking -- experience.",Tsotsi (Thug) (2006)
tracy-allerton,rotten,2/4,take_the_lead,"Besides the rousing ending, which combines ballroom and hip-hop moves in an exciting way, the film offers nothing we haven't seen before.",Take the Lead (2006)
tracy-allerton,rotten,2.5/4,pink_panther,Martin deserves another case as Inspector Clouseau -- and we deserve a better movie.,The Pink Panther (2006)
tracy-allerton,fresh,2.5/4,10004662-last_holiday,Almost makes you want to cash in your IRA and live it up.,Last Holiday (2006)
tracy-allerton,rotten,2/4,yours_mine_and_ours,"Those scenes of everyday chaos that were so charming in the original are few here, alas.","Yours, Mine & Ours (2005)"
tracy-allerton,rotten,2/4,just_friends,"Time and again, it goes for cheap laughs at the expense of character development. And, could the message be any shallower?",Just Friends (2005)
tracy-allerton,rotten,2/4,zathura,It's not nearly as good as Jumanji.,Zathura (2005)
tracy-allerton,fresh,2.5/4,greatest_game_ever_played,A fairly entertaining family film.,The Greatest Game Ever Played (2005)
tracy-allerton,fresh,3/4,de_zaak_alzheimer,"Without flashy, Hollywood-style pyrotechnics to get in the way, solid human drama provides the suspense.",De zaak Alzheimer (The Memory of a Killer) (2005)
tracy-allerton,fresh,2.5/4,just_like_heaven,Just Like Heaven is just so darned cute.,Just Like Heaven (2005)
tracy-allerton,rotten,1.5/4,in_his_hands,"The thrills, alas, are few and far between, and the psychological element is too hard to believe.",Entre ses mains (In His Hands) (2005)
tracy-mcloone,fresh,,monsters_inc,"For all the film's obvious unreality, the characters seem distinctly human -- especially the monsters -- and the story is simple and compelling.","Monsters, Inc. (2001)"
tracy-mcloone,fresh,,little_vampire,"There is mystery, intrigue, a little tiny bit of kid romance (a harmless crush), and a satisfying ending.",The Little Vampire (2000)
tracy-mcloone,fresh,,cats_and_dogs,"While I didn't laugh that hard during Cats & Dogs, I did chuckle a fair amount.",Cats & Dogs (2001)
tracy-mcloone,fresh,,serendipity,"Serendipity at least lets us believe that we have some control over the choices we make in our lives, a comforting thought right now.",Serendipity (2001)
tracy-mcloone,rotten,,snow_dogs,"Perhaps the movie is working with the theory that if you do a schtick a million times, it eventually becomes funny. In this case, it really doesn't.",Snow Dogs (2002)
tracy-mcloone,fresh,,spy_kids,"While Spy Kids is neither sophisticated nor classically educational, it is filled with love, family, bright colors, fun action scenes, and magical mystery.",Spy Kids (2001)
tracy-mcloone,fresh,,ice_age,"Sounds like your standard road movie about a bunch of guys who get on each other's nerves, right? While Ice Age might fall in parts within these limitations, it also exceeds them in several respects.",Ice Age (2002)
tracy-mcloone,fresh,,clockstoppers,Worth the time.,Clockstoppers (2002)
tracy-mcloone,rotten,,return_to_never_land,"Ultimately, Jane learns her place as a girl, softens up and loses some of the intensity that made her an interesting character to begin with.",Return to Never Land (2002)
tracy-mcloone,fresh,,lilo_and_stitch,A welcome change from the usual fare.,Lilo & Stitch (2002)
tracy-mcloone,fresh,,powerpuff_girls_movie,"Perhaps the younger members of their audience can appreciate their potency, and grow up understanding the possibilities and fun of girl power.",The Powerpuff Girls - The Movie (2002)
tracy-mcloone,rotten,,stuart_little_2,"With all the incessant action, SL2 feels like it's trying to be bigger than it is.",Stuart Little 2 (2002)
tracy-moore,rotten,2/5,wish_upon_a_star,"Romp about trading places has stereotypes, sensuality.",Wish Upon a Star (1996)
tracy-moore,fresh,3/5,1204891-center_stage_turn_it_up,Entertaining dance-focused romance has some mature themes.,Center Stage: Turn It Up (2008)
tracy-moore,rotten,2/5,golden_winter_2012,"Cute puppy movie with iffy premise, behavior.",Golden Winter (2012)
tracy-moore,fresh,4/5,now_is_good_2012,Stunning tearjerker about teen cancer has mature themes.,Now Is Good (2012)
tracy-moore,fresh,3/5,music_of_the_heart,Touching story about a determined teacher has mature themes.,Music of the Heart (1999)
tracy-moore,fresh,3/5,the_letter_writer_2013,Positive messages about giving come with heavy themes.,The Letter Writer (2013)
tracy-moore,fresh,4/5,downfall,Provocative look at Hitler's last days is extremely violent.,Downfall (Der Untergang) (2004)
tracy-moore,fresh,3/5,gbf_2013,Extremely edgy comedy sends up gay best friend stereotypes.,G.B.F. (2014)
tracy-moore,fresh,3/5,patriot_games,Spy thriller mixes nonstop violence with pro-family message.,Patriot Games (1992)
tracy-moore,fresh,3/5,1031744-long_walk_home,"Moving Civil Rights story heavy on ""N"" word but uplifting.",The Long Walk Home (1990)
tracy-moore,rotten,2/5,bratz_go_to_paris_the_movie,"Fashion romp weighed down by stereotypes, makeup.",Bratz Go to Paris: The Movie (2013)
tracy-moore,rotten,2/5,strawberry_shortcake_the_berryfest_princess_movie,"Some ""girl"" stereotypes mixed in with positive messages.",Strawberry Shortcake: The Berryfest Princess Movie (2010)
tracy-moore,fresh,4/5,winnie-the-pooh-a-very-merry-pooh-year,"Beloved characters celebrate holidays, differences.",Winnie the Pooh - A Very Merry Pooh Year (2008)
tracy-moore,rotten,2/5,storm_rider_2013,Horse drama deals with heavy themes of family separation.,Storm Rider (2013)
tracy-moore,rotten,2/5,george_of_the_jungle_2,"Heavy-handed sequel big on slapstick, poop jokes.",George Of The Jungle 2 (2003)
tracy-moore,fresh,3/5,wiener_dog_nationals_2013,"Upbeat, quirky dog movie focuses on doing the right thing.",Wiener Dog Nationals (2013)
tracy-moore,fresh,3/5,canela,Subtitled film about grief and cooking is heavy but sweet.,Canela (Cinnamon) (2011)
tracy-moore,fresh,3/5,personally-yours-wilderness-love,Funny romcom about divorce has mature themes.,Personally Yours (Wilderness Love) (2000)
tracy-moore,fresh,3/5,christmas_carol_the_movie,"Milder than some versions of classic, but still a bit scary.",Christmas Carol - The Movie (2001)
tracy-moore,rotten,2/5,the_dog_who_saved_the_holidays,Bawdy Christmas romp drags; heavy on flatulence.,The Dog Who Saved the Holidays (2012)
tracy-moore,rotten,1/5,a_talking_cat_2013,Kids looking for a cute cat tale will be disappointed.,A Talking Cat!?! (2013)
tracy-moore,fresh,3/5,brooke_ellison_story,Stirring tale of quadriplegic girl's fight has heavy themes.,The Brooke Ellison Story (2004)
tracy-moore,fresh,4/5,angelina_ballerina_pop_star_girls_2011,Arts-centric tales impart positive messages for preschoolers,Angelina Ballerina: Pop Star Girls (2011)
